,STT_NAAM,MAX_SNELHEID,WKT_LAT_LNG
1517,Nieuwe Leeuwarderweg,50,"52.389571 4.918935,52.389745 4.919023,52.390098 4.919509,52.390277 4.91972,52.390424 4.919865,52.390938 4.920218,52.39104 4.920318,52.391098 4.920416,52.391141 4.920561,52.391149 4.920704,52.391146 4.920942,52.391153 4.921074,52.391165 4.921146,52.391201 4.921269,52.391273 4.921429,52.391348 4.921534,52.391465 4.921645,52.391932 4.921976,52.391956 4.922063"
1523,Nieuwe Leeuwarderweg,70,"52.403289 4.934513,52.40466 4.936297"
1532,Nieuwe Leeuwarderweg,70,"52.391485 4.922107,52.392081 4.922548,52.393248 4.923292,52.39399 4.923782,52.395212 4.924678"
1546,Nieuwe Leeuwarderweg,70,"52.406652 4.938535,52.407763 4.939813,52.408796 4.940838,52.408924 4.940786"
1547,Nieuwe Leeuwarderweg,50,"52.403071 4.931937,52.403117 4.932048,52.404428 4.933732,52.4045 4.93388,52.404527 4.93401,52.404535 4.934153,52.404518 4.934316,52.404475 4.934447,52.404417 4.934545,52.404346 4.934582,52.404288 4.934593,52.404191 4.934579,52.404123 4.934531,52.403992 4.934395,52.403904 4.934376"
1551,Nieuwe Leeuwarderweg,70,"52.39529 4.924334,52.396474 4.925383,52.397298 4.926231,52.397709 4.926694,52.398138 4.927196,52.398588 4.927756,52.39903 4.928323,52.399106 4.928406"
1552,Nieuwe Leeuwarderweg,70,"52.384661 4.911501,52.384888 4.91173,52.385128 4.911999,52.385303 4.912224,52.38543 4.912407,52.38568 4.91281,52.385987 4.913356,52.386302 4.913942,52.386888 4.915086,52.387459 4.916264,52.387643 4.916635,52.388066 4.917531,52.388827 4.919052,52.389487 4.920019"
1558,Nieuwe Leeuwarderweg,50,"52.403289 4.934513,52.403328 4.934695,52.403523 4.934975,52.403649 4.93518,52.403735 4.935357,52.403762 4.935481,52.403763 4.935609,52.403737 4.935746,52.40369 4.935841,52.403629 4.935902,52.403554 4.935935,52.403493 4.935941,52.403436 4.935926,52.403346 4.935866,52.403241 4.935744,52.402686 4.935002"
1569,Nieuwe Leeuwarderweg,80,"52.40675 4.938255,52.407277 4.938927,52.40801 4.939741,52.408874 4.940588,52.408924 4.940786"
1572,Nieuwe Leeuwarderweg,70,"52.399106 4.928406,52.39962 4.929112,52.400037 4.92957,52.400482 4.930111,52.402506 4.932677,52.403904 4.934376"
1578,Nieuwe Leeuwarderweg,70,"52.403904 4.934376,52.404177 4.934709,52.40487 4.935583,52.404982 4.935709"
1580,Nieuwe Leeuwarderweg,80,"52.391956 4.922063,52.394333 4.923614,52.39529 4.924334"
1585,Nieuwe Leeuwarderweg,50,"52.389629 4.921291,52.389631 4.921238,52.389582 4.921029,52.389562 4.92097,52.38931 4.920406,52.389282 4.920331,52.389273 4.920278,52.389268 4.920212,52.389271 4.92015,52.389295 4.920046"
1608,Nieuwe Leeuwarderweg,70,"52.384719 4.911327,52.384939 4.911536,52.385246 4.911898,52.385489 4.912232,52.385675 4.912527,52.385942 4.912987,52.386722 4.914465,52.387184 4.915302,52.387592 4.915963"
1610,Nieuwe Leeuwarderweg,50,"52.403071 4.931937,52.403157 4.931962,52.403836 4.932802,52.404246 4.933346,52.404292 4.933379"
1623,Nieuwe Leeuwarderweg,70,"52.40466 4.936297,52.406652 4.938535"
1630,Nieuwe Leeuwarderweg,70,"52.399972 4.930014,52.400273 4.930464,52.401695 4.932298,52.402533 4.933385,52.403289 4.934513"
1632,Nieuwe Leeuwarderweg,70,"52.395212 4.924678,52.395608 4.925023,52.395711 4.925098,52.396445 4.925759,52.396833 4.926131,52.397196 4.926495,52.397819 4.92718,52.39822 4.92766,52.398867 4.928518"
1649,Nieuwe Leeuwarderweg,70,"52.389629 4.921291,52.389606 4.921277,52.38918 4.920336,52.389099 4.920187"
1659,Nieuwe Leeuwarderweg,70,"52.389487 4.920019,52.389517 4.920214,52.389641 4.920415,52.389827 4.920669,52.389975 4.920819,52.39007 4.920934,52.390101 4.921003,52.390132 4.921101,52.390141 4.921212,52.390133 4.921305,52.390114 4.921403,52.390085 4.921473,52.390046 4.921539,52.390006 4.921578,52.389959 4.921608,52.3899 4.921622,52.38985 4.921616,52.389793 4.921583,52.389741 4.921525,52.389696 4.92145,52.389629 4.921291"
1660,Nieuwe Leeuwarderweg,80,"52.404982 4.935709,52.40675 4.938255"
1665,Nieuwe Leeuwarderweg,50,"52.402686 4.935002,52.402658 4.934931,52.402503 4.934692,52.402159 4.934231,52.402146 4.934189,52.402143 4.93415,52.402141 4.934017"
1668,Nieuwe Leeuwarderweg,80,"52.408924 4.940786,52.409011 4.941005,52.409912 4.941744,52.410571 4.942322,52.411238 4.942898,52.411915 4.943466,52.412521 4.943983,52.412558 4.94401"
1671,Nieuwe Leeuwarderweg,50,"52.404292 4.933379,52.404269 4.933306,52.403978 4.932875,52.40379 4.932607,52.403495 4.932218,52.40328 4.931946,52.403256 4.931888,52.40324 4.931823,52.403237 4.931784,52.40324 4.931672"
1684,Ceintuurbaan,50,"52.352732 4.891129,52.352814 4.891751,52.352887 4.892212,52.352976 4.892859,52.353024 4.893304,52.353181 4.894469,52.353202 4.894585"
1690,Vijzelstraat,50,"52.364044 4.892329,52.365037 4.892672"
1694,Vijzelstraat,50,"52.366721 4.893222,52.367125 4.89336"
1697,Gooiseweg,70,"52.325576 4.955577,52.324339 4.956572"
1702,Vijzelstraat,50,"52.364015 4.89251,52.364576 4.892696,52.365022 4.89286"
1708,Gooiseweg,70,"52.331444 4.950297,52.330422 4.951261"
1711,Ceintuurbaan,50,"52.352584 4.889133,52.352608 4.889325,52.352637 4.889714,52.352816 4.891024"
1718,Vijzelstraat,50,"52.365037 4.892672,52.365349 4.892759"
1724,Ceintuurbaan,50,"52.354239 4.899087,52.354881 4.901188"
1733,Vijzelstraat,50,"52.365349 4.892759,52.365506 4.892865,52.3661 4.893061"
1734,Ceintuurbaan,50,"52.352835 4.891141,52.352874 4.891427,52.352927 4.891656,52.352952 4.891877,52.352969 4.892138,52.353304 4.894511"
1741,Vijzelstraat,50,"52.365317 4.892984,52.365911 4.893183,52.366082 4.893225"
1748,Ceintuurbaan,50,"52.355324 4.903113,52.355449 4.903567"
1758,Ceintuurbaan,50,"52.354881 4.901188,52.355568 4.903479"
1774,Ceintuurbaan,50,"52.355568 4.903479,52.356074 4.905006"
1783,Vijzelstraat,50,"52.366082 4.893225,52.366649 4.89338,52.366802 4.893437,52.366946 4.893524"
1784,Gooiseweg,70,"52.324339 4.956572,52.324075 4.956821"
1787,Ceintuurbaan,50,"52.352458 4.889194,52.352732 4.891129"
1791,Vijzelstraat,50,"52.362337 4.891799,52.362959 4.892027"
1797,Gooiseweg,70,"52.324437 4.956292,52.32403 4.956687"
1801,Ceintuurbaan,50,"52.354737 4.901292,52.355324 4.903113"
1805,Vijzelstraat,50,"52.3661 4.893061,52.366721 4.893222"
1810,Vijzelstraat,50,"52.363706 4.892297,52.363791 4.892233,52.364044 4.892329"
1816,Gooiseweg,70,"52.33422 4.946689,52.334011 4.947059,52.333743 4.947516,52.333529 4.947856,52.333269 4.948225,52.333046 4.948491,52.331998 4.949514,52.331228 4.950241"
1818,Ceintuurbaan,50,"52.35216 4.88679,52.35217 4.88698,52.352458 4.889194"
1830,Ceintuurbaan,50,"52.352295 4.886788,52.352287 4.887009,52.352297 4.887111,52.352535 4.888909,52.352569 4.889028,52.352584 4.889133"
1831,Gooiseweg,70,"52.330233 4.95116,52.329732 4.951649,52.328523 4.952746,52.328478 4.952791,52.32837 4.95288,52.327367 4.95377,52.325772 4.955193,52.325584 4.955357"
1834,Gooiseweg,70,"52.325584 4.955357,52.324437 4.956292"
1839,Ceintuurbaan,50,"52.352816 4.891024,52.352835 4.891141"
1840,Vijzelstraat,50,"52.365022 4.89286,52.365317 4.892984"
1847,Gooiseweg,70,"52.330422 4.951261,52.328622 4.952892,52.328586 4.952936,52.328532 4.952981,52.327511 4.9539,52.327404 4.953989,52.326266 4.954998,52.325576 4.955577"
1851,Ceintuurbaan,50,"52.355449 4.903567,52.355921 4.905096"
1869,Vijzelstraat,50,"52.362959 4.892027,52.363706 4.892297"
1897,Gooiseweg,70,"52.331228 4.950241,52.330233 4.95116"
1909,Vijzelstraat,50,"52.363706 4.892297,52.363767 4.892417,52.364015 4.89251"
1916,Gooiseweg,70,"52.334322 4.94684,52.334191 4.947057,52.333914 4.947529,52.333601 4.948031,52.333369 4.948386,52.333163 4.948637,52.332062 4.949734,52.331444 4.950297"
1930,Ceintuurbaan,50,"52.354171 4.899141,52.354193 4.899292,52.354655 4.901044,52.354737 4.901292"
1942,Oude Haagseweg,50,"52.336356 4.815438,52.336361 4.815528,52.336398 4.81566,52.336762 4.816609,52.336889 4.81693,52.33699 4.817266,52.337072 4.817603,52.337091 4.817735"
1949,Oude Haagseweg,60,"52.331996 4.807094,52.33207 4.807336,52.332765 4.80849,52.333098 4.809102,52.333739 4.810471,52.334016 4.811084,52.33434 4.811875,52.335221 4.813708,52.335311 4.813809"
1954,Oude Haagseweg,60,"52.335927 4.814812,52.335847 4.814639"
1958,Oude Haagseweg,60,"52.331721 4.806678,52.331996 4.807094"
1962,Oude Haagseweg,60,"52.335311 4.813809,52.335375 4.813883,52.3355 4.814056,52.335772 4.814629,52.335901 4.814887"
1965,Oude Haagseweg,50,"52.336903 4.817825,52.336976 4.818147,52.337023 4.818454,52.337089 4.819143,52.33711 4.819788,52.337096 4.82061,52.337099 4.82143,52.337077 4.822283,52.33707 4.822782,52.337047 4.82538,52.33705 4.826142,52.337088 4.82645,52.337134 4.826714,52.337198 4.826918,52.33728 4.827152,52.337407 4.827385,52.337524 4.82756,52.337633 4.827676,52.337759 4.827777,52.337858 4.827805,52.33793 4.827833,52.338038 4.827861,52.338119 4.827891,52.338416 4.827886,52.338515 4.827899,52.338649 4.827898,52.33873 4.827911,52.338955 4.827909,52.339063 4.827922,52.339173 4.827928"
2032,Oude Haagseweg,60,"52.335847 4.814639,52.33534 4.813558"
2042,Oude Haagseweg,60,"52.331159 4.808781,52.331179 4.808898,52.331222 4.808984,52.331367 4.809167,52.331398 4.809232,52.331423 4.809336,52.331432 4.809433,52.331427 4.809883"
2045,Oude Haagseweg,60,"52.337091 4.817735,52.336948 4.81781,52.336903 4.817825"
2048,Oude Haagseweg,60,"52.33534 4.813558,52.333925 4.810535,52.333849 4.810344,52.33381 4.810046,52.333807 4.809851"
2052,Oude Haagseweg,60,"52.335901 4.814887,52.336078 4.815288,52.336138 4.815349,52.336236 4.815402,52.336356 4.815438"
