,STT_NAAM,MAX_SNELHEID,WKT_LAT_LNG
2590,De Boelelaan,50,"52.334998 4.875034,52.335001 4.875715"
2592,De Boelelaan,50,"52.334655 4.887295,52.334611 4.88753,52.33462 4.889775"
2598,De Boelelaan,50,"52.335058 4.878575,52.335077 4.878766"
2605,De Boelelaan,50,"52.334992 4.871526,52.334995 4.872292"
2612,Van Baerlestraat,50,"52.358801 4.877966,52.358162 4.878408"
2627,De Boelelaan,50,"52.335253 4.857686,52.335234 4.86147,52.335191 4.861761"
2638,Martelaarsgracht,50,"52.377834 4.895949,52.378058 4.896857,52.378132 4.897042"
2643,De Boelelaan,50,"52.335046 4.861745,52.335023 4.862839"
2644,Van Baerlestraat,50,"52.356234 4.88005,52.356087 4.880125"
2645,De Boelelaan,50,"52.335023 4.862839,52.33502 4.864065"
2649,Van Baerlestraat,50,"52.354769 4.880874,52.354281 4.881216"
2654,De Boelelaan,50,"52.335024 4.868687,52.335007 4.868937"
2661,Martelaarsgracht,50,"52.37776 4.896047,52.377961 4.896911,52.378006 4.897161"
2679,De Boelelaan,50,"52.334997 4.869688,52.334986 4.870155,52.334987 4.870521"
2681,De Boelelaan,50,"52.335077 4.878766,52.335123 4.879044,52.335152 4.879513,52.335163 4.879997,52.335147 4.880423,52.334809 4.88342"
2695,De Boelelaan,50,"52.334707 4.884785,52.334663 4.887031"
2703,Van Baerlestraat,50,"52.356178 4.87985,52.356095 4.879905,52.356041 4.87995"
2705,De Boelelaan,50,"52.33502 4.864065,52.335018 4.865195"
2706,De Boelelaan,50,"52.335128 4.857421,52.335103 4.85767"
2710,De Boelelaan,50,"52.33502 4.86766,52.335024 4.868687"
2711,De Boelelaan,50,"52.334719 4.889788,52.334721 4.890155"
2712,De Boelelaan,50,"52.334655 4.887295,52.334718 4.887508,52.334724 4.888122,52.334719 4.889788"
2720,De Boelelaan,50,"52.335103 4.85767,52.335046 4.861745"
2726,Van Baerlestraat,50,"52.353718 4.881766,52.353248 4.882101"
2740,Van Baerlestraat,50,"52.359425 4.877573,52.358801 4.877966"
2742,Van Baerlestraat,50,"52.360105 4.877076,52.359425 4.877573"
2744,Van Baerlestraat,50,"52.355448 4.880548,52.354804 4.881012"
2746,Van Baerlestraat,50,"52.358914 4.878098,52.358354 4.878507,52.358238 4.878598"
2748,De Boelelaan,50,"52.334809 4.88342,52.334704 4.88446"
2750,Van Baerlestraat,50,"52.354281 4.881216,52.353696 4.881616"
2752,De Boelelaan,50,"52.33462 4.889775,52.334622 4.890156"
2763,Van Baerlestraat,50,"52.354804 4.881012,52.354394 4.881296,52.354311 4.881346"
2782,Van Baerlestraat,50,"52.359452 4.877681,52.360129 4.877211"
2784,Van Baerlestraat,50,"52.356087 4.880125,52.356033 4.880155,52.355448 4.880548"
2788,Van Baerlestraat,50,"52.354311 4.881346,52.353718 4.881766"
2805,Van Baerlestraat,50,"52.356041 4.87995,52.355297 4.880487"
2807,De Boelelaan,50,"52.334987 4.870521,52.334992 4.871526"
2897,Sarphatipark,30,"52.353304 4.894511,52.353202 4.894585"
2918,Sarphatipark,50,"52.353304 4.894511,52.354239 4.899087"
2993,Sarphatipark,30,"52.354239 4.899087,52.354171 4.899141"
3001,Sarphatipark,50,"52.353202 4.894585,52.354171 4.899141"
3044,Weesperstraat,50,"52.332544 4.97398,52.331718 4.975758,52.331347 4.976589,52.331264 4.976754,52.331192 4.976869,52.331113 4.976954,52.331032 4.976991,52.330932 4.976976,52.330811 4.976901"
3119,Weesperstraat,50,"52.33717 4.963888,52.337146 4.963999,52.337015 4.964234,52.336328 4.965727,52.33584 4.966776,52.335566 4.967411"
3124,Weesperstraat,50,"52.33389 4.971045,52.333597 4.971696,52.333445 4.97202,52.332544 4.97398"
3347,Weesperstraat,50,"52.335566 4.967411,52.334319 4.970134,52.33389 4.971045"
3399,Nieuwezijds Voorburgwal,50,"52.376631 4.894035,52.376743 4.89423,52.376865 4.8945,52.376997 4.894813,52.377218 4.895091"
3414,Nieuwezijds Voorburgwal,30,"52.370536 4.890195,52.370735 4.89034,52.371239 4.890672,52.371276 4.890701,52.371357 4.890738"
3415,Nieuwezijds Voorburgwal,50,"52.374428 4.891452,52.37476 4.891795"
3416,Nieuwezijds Voorburgwal,50,"52.375301 4.892405,52.375605 4.892809"
3420,Nieuwezijds Voorburgwal,50,"52.375057 4.8921,52.37511 4.892156,52.375301 4.892405"
3427,Nieuwezijds Voorburgwal,50,"52.374124 4.890959,52.37431 4.891188,52.374865 4.891643"
3431,Nieuwezijds Voorburgwal,50,"52.375748 4.893016,52.375996 4.893394,52.376228 4.893785"
3432,Nieuwezijds Voorburgwal,50,"52.374865 4.891643,52.375153 4.891932,52.375374 4.892238,52.375637 4.89259,52.375796 4.892791"
3437,Nieuwezijds Voorburgwal,50,"52.375605 4.892809,52.375671 4.892898,52.375748 4.893016"
3451,Nieuwezijds Voorburgwal,50,"52.373227 4.890401,52.373342 4.890501,52.373614 4.890627"
3470,Nieuwezijds Voorburgwal,30,"52.370608 4.890018,52.370689 4.89009,52.370869 4.890235,52.371248 4.890495,52.37141 4.890552,52.371545 4.89058,52.371679 4.890579"
3477,Nieuwezijds Voorburgwal,30,"52.373142 4.890383,52.372614 4.890451"
3506,Nieuwezijds Voorburgwal,50,"52.37476 4.891795,52.375057 4.8921"
3508,Nieuwezijds Voorburgwal,50,"52.373098 4.890633,52.373154 4.890636,52.373258 4.890681"
3517,Nieuwezijds Voorburgwal,50,"52.373614 4.890627,52.373774 4.890702,52.374072 4.890904,52.374124 4.890959"
3521,Nieuwezijds Voorburgwal,30,"52.368542 4.889028,52.368642 4.889127,52.368735 4.889187,52.368996 4.889258,52.369328 4.889283,52.369616 4.889383,52.36986 4.889542,52.370139 4.889744,52.370608 4.890018"
3536,Nieuwezijds Voorburgwal,50,"52.373142 4.890383,52.373171 4.890386,52.373227 4.890401"
3537,Nieuwezijds Voorburgwal,50,"52.373258 4.890681,52.373614 4.890832"
3538,Nieuwezijds Voorburgwal,50,"52.372624 4.890671,52.372929 4.890623,52.373098 4.890633"
3539,Nieuwezijds Voorburgwal,12,"52.377582 4.895466,52.377653 4.895283"
3541,Nieuwezijds Voorburgwal,50,"52.373614 4.890832,52.373838 4.890951,52.374145 4.891197"
3546,Nieuwezijds Voorburgwal,50,"52.376621 4.894459,52.376874 4.894926"
3558,Nieuwezijds Voorburgwal,50,"52.377582 4.895466,52.377722 4.89561"
3564,Nieuwezijds Voorburgwal,50,"52.377218 4.895091,52.377361 4.895259,52.377478 4.89536,52.377582 4.895466"
3569,Nieuwezijds Voorburgwal,12,"52.377491 4.895615,52.377582 4.895466"
3570,Nieuwezijds Voorburgwal,30,"52.372624 4.890671,52.372453 4.890717,52.371932 4.890752"
3572,Nieuwezijds Voorburgwal,50,"52.375796 4.892791,52.375977 4.893027,52.376049 4.893144,52.376275 4.89345,52.376474 4.893759,52.376631 4.894035"
3581,Nieuwezijds Voorburgwal,30,"52.372614 4.890451,52.372183 4.890544"
3583,Nieuwezijds Voorburgwal,50,"52.374145 4.891197,52.374334 4.891357,52.374428 4.891452"
3584,Nieuwezijds Voorburgwal,30,"52.371932 4.890752,52.371716 4.890769,52.371357 4.890738"
3590,Nieuwezijds Voorburgwal,30,"52.368627 4.889203,52.368762 4.88929,52.368852 4.889333,52.368894 4.889344"
3600,Nieuwezijds Voorburgwal,50,"52.376228 4.893785,52.376548 4.894328,52.376621 4.894459"
3605,Nieuwezijds Voorburgwal,50,"52.377491 4.895615,52.377615 4.895726,52.377696 4.895857,52.377751 4.896003,52.37776 4.896047"
3607,Nieuwezijds Voorburgwal,50,"52.377019 4.895145,52.377064 4.895203,52.377491 4.895615"
3615,Nieuwezijds Voorburgwal,30,"52.372183 4.890544,52.371679 4.890579"
3618,Nieuwezijds Voorburgwal,50,"52.376874 4.894926,52.376938 4.895043,52.377019 4.895145"
3619,Nieuwezijds Voorburgwal,30,"52.368894 4.889344,52.369167 4.889388,52.369354 4.889404,52.369541 4.889473,52.369707 4.889571,52.370413 4.890026,52.370536 4.890195"
3650,Spaarndammerdijk,50,"52.393221 4.867229,52.393237 4.867834,52.393245 4.868957,52.393227 4.869951,52.393153 4.871089,52.393001 4.87236,52.39294 4.872756"
3747,Spaarndammerdijk,50,"52.39223 4.877465,52.391928 4.877806,52.391767 4.877999,52.391669 4.878143,52.391628 4.878227"
3770,Spaarndammerdijk,50,"52.39294 4.872756,52.392905 4.873021,52.392879 4.873256,52.392854 4.873603,52.39282 4.876271,52.392793 4.876501,52.392753 4.876651,52.392698 4.876782,52.392623 4.876904,52.39223 4.877465"
3792,Spaarndammerdijk,50,"52.393065 4.868575,52.393031 4.869023,52.393035 4.869758,52.393058 4.871021,52.393042 4.871462,52.392956 4.872256"
3829,Stadionweg,50,"52.348838 4.88332,52.349355 4.884356"
3835,Weesperstraat,50,"52.366229 4.90501,52.36536 4.905537"
3841,Stadionweg,50,"52.346767 4.873892,52.346827 4.875315"
3863,Stadionweg,50,"52.345227 4.858846,52.345297 4.859017,52.34535 4.859293,52.345395 4.859621"
3866,Stadionweg,50,"52.345749 4.861651,52.345819 4.862173,52.345829 4.862403,52.34582 4.86256"
3871,Weesperstraat,50,"52.362563 4.90724,52.362294 4.90739"
3881,Weesperstraat,50,"52.364275 4.906047,52.363647 4.906451"
3883,Weesperstraat,50,"52.36501 4.905584,52.364275 4.906047"
3890,Stadionweg,50,"52.346591 4.868596,52.346621 4.869359,52.346663 4.870797,52.346683 4.871163,52.346683 4.871237"
3894,Weesperstraat,50,"52.361827 4.907498,52.361213 4.907845"
3897,Stadionweg,50,"52.346887 4.876899,52.346928 4.877911"
3899,Stadionweg,50,"52.348485 4.882604,52.348621 4.882882"
3901,Weesperstraat,50,"52.364299 4.906187,52.363675 4.906583"
3917,Stadionweg,50,"52.345479 4.859579,52.345498 4.859802,52.345621 4.860807"
3920,Weesperstraat,50,"52.363379 4.906747,52.362563 4.90724"
3924,Weesperstraat,50,"52.36336 4.90663,52.362535 4.907094"
3931,Weesperstraat,50,"52.361854 4.907659,52.361343 4.907958,52.361245 4.908003"
3944,Stadionweg,50,"52.34582 4.86256,52.345902 4.863174"
3958,Stadionweg,50,"52.346878 4.876708,52.346887 4.876899"
3963,Stadionweg,50,"52.34543 4.859018,52.345479 4.859579"
3973,Weesperstraat,50,"52.362266 4.907244,52.361827 4.907498"
3980,Stadionweg,50,"52.347179 4.879948,52.347599 4.880825"
3983,Stadionweg,50,"52.347599 4.880825,52.348013 4.881626"
3985,Stadionweg,50,"52.346134 4.864903,52.346246 4.865768"
4007,Stadionweg,50,"52.346827 4.875315,52.346878 4.876708"
4008,Stadionweg,50,"52.345674 4.861677,52.345784 4.862436,52.34582 4.86256"
4016,Stadionweg,50,"52.345099 4.858002,52.345227 4.858846"
4019,Weesperstraat,50,"52.362535 4.907094,52.362266 4.907244"
4032,Weesperstraat,50,"52.365332 4.90539,52.36501 4.905584"
4060,Weesperstraat,50,"52.365046 4.90576,52.364984 4.905805,52.364299 4.906187"
4062,Stadionweg,50,"52.345395 4.859621,52.345674 4.861677"
4065,Stadionweg,50,"52.346928 4.877911,52.347007 4.879598,52.347179 4.879948"
4068,Stadionweg,50,"52.346013 4.864024,52.346134 4.864903"
4075,Weesperstraat,50,"52.366201 4.904889,52.365332 4.90539"
4077,Stadionweg,50,"52.345258 4.857963,52.34543 4.859018"
4082,Weesperstraat,50,"52.36536 4.905537,52.365046 4.90576"
4088,Stadionweg,50,"52.348013 4.881626,52.348485 4.882604"
4089,Weesperstraat,50,"52.363647 4.906451,52.36336 4.90663"
4090,Weesperstraat,50,"52.363675 4.906583,52.363379 4.906747"
4097,Stadionweg,50,"52.345621 4.860807,52.345749 4.861651"
4105,Stadionweg,50,"52.345902 4.863174,52.346013 4.864024"
4112,Weesperstraat,50,"52.362294 4.90739,52.361854 4.907659"
4114,Stadionweg,50,"52.348621 4.882882,52.348711 4.883086,52.348838 4.88332"
4129,Johan Huizingalaan,50,"52.342595 4.827819,52.342379 4.827836,52.341417 4.827863"
4145,Johan Huizingalaan,50,"52.358304 4.826927,52.358257 4.826886,52.358187 4.82685,52.358108 4.826838,52.35747 4.826861,52.357412 4.826882,52.357355 4.82692,52.357311 4.826973"
4156,Johan Huizingalaan,50,"52.358304 4.826927,52.358457 4.827083,52.358522 4.827125,52.358596 4.827149,52.358693 4.827161,52.359157 4.827135,52.359201 4.827187"
4167,Johan Huizingalaan,50,"52.345631 4.827443,52.346727 4.8274,52.346815 4.827421"
4172,Johan Huizingalaan,50,"52.356226 4.827295,52.354708 4.827329"
4181,Johan Huizingalaan,50,"52.36213 4.827074,52.361627 4.82708,52.359201 4.827187"
4207,Rhijnspoorplein,50,"52.361213 4.907845,52.36117 4.907868"
4215,Johan Huizingalaan,50,"52.341417 4.827863,52.340609 4.827917,52.339512 4.827946,52.339173 4.827928"
4223,Johan Huizingalaan,50,"52.346844 4.827633,52.346908 4.827632"
4230,Johan Huizingalaan,50,"52.359201 4.827187,52.359159 4.827253,52.358685 4.827265,52.358604 4.82728,52.358538 4.827301,52.358475 4.827344,52.358319 4.827497"
4231,Johan Huizingalaan,50,"52.357292 4.827515,52.357357 4.827565,52.357448 4.827623"
4233,Johan Huizingalaan,50,"52.351464 4.827309,52.352452 4.827328,52.35256 4.827385"
4241,Johan Huizingalaan,50,"52.356226 4.827295,52.356352 4.827402,52.356966 4.827382,52.357051 4.827389,52.357126 4.82741,52.357212 4.827454,52.357292 4.827515"
4255,Johan Huizingalaan,50,"52.348195 4.827399,52.349971 4.82733,52.351305 4.827332,52.351372 4.827308"
4267,Johan Huizingalaan,50,"52.351372 4.827308,52.351464 4.827309"
4291,Johan Huizingalaan,50,"52.363999 4.827035,52.364034 4.827031"
4292,Johan Huizingalaan,50,"52.357448 4.827623,52.357516 4.82764,52.358126 4.827622"
4296,Johan Huizingalaan,50,"52.349262 4.827588,52.349083 4.827576,52.348184 4.827631"
4302,Johan Huizingalaan,50,"52.351455 4.827472,52.351257 4.827504,52.350017 4.827549"
4303,Johan Huizingalaan,50,"52.357311 4.826973,52.357232 4.827033,52.357097 4.827108,52.356882 4.827154,52.356352 4.827176,52.356226 4.827295"
4337,Johan Huizingalaan,50,"52.345631 4.827443,52.345082 4.827465,52.344768 4.827483,52.344544 4.827545,52.343969 4.827581,52.34342 4.827603,52.343124 4.827577,52.342908 4.82758,52.342728 4.827538,52.342584 4.827511"
4359,Johan Huizingalaan,50,"52.362714 4.827052,52.36213 4.827074"
4363,Johan Huizingalaan,50,"52.341407 4.827555,52.340607 4.827594,52.340185 4.827585,52.33952 4.827579,52.339169 4.827583"
4377,Johan Huizingalaan,50,"52.354708 4.827329,52.35256 4.827385"
4387,Johan Huizingalaan,50,"52.35256 4.827385,52.352452 4.827474,52.351455 4.827472"
4390,Rhijnspoorplein,50,"52.360285 4.908381,52.360204 4.908426,52.360042 4.90853"
4397,Johan Huizingalaan,50,"52.346815 4.827421,52.346907 4.827442"
4404,Johan Huizingalaan,50,"52.346907 4.827442,52.34723 4.827438,52.348195 4.827399"
4409,Johan Huizingalaan,50,"52.345632 4.827663,52.344994 4.827671,52.34485 4.827688,52.344634 4.827734,52.344338 4.827767,52.344131 4.827799,52.343844 4.827818,52.343323 4.827824,52.342595 4.827819"
4410,Johan Huizingalaan,50,"52.346908 4.827632,52.34804 4.827618,52.348184 4.827631"
4419,Johan Huizingalaan,50,"52.362714 4.827052,52.363999 4.827035"
4423,Johan Huizingalaan,50,"52.350017 4.827549,52.349262 4.827588"
4425,Rhijnspoorplein,50,"52.361245 4.908003,52.3612 4.908019"
4426,Rhijnspoorplein,50,"52.360321 4.908542,52.36024 4.908587,52.360079 4.908691"
4437,Rhijnspoorplein,50,"52.3612 4.908019,52.360384 4.908482,52.360321 4.908542"
4446,Rhijnspoorplein,50,"52.36117 4.907868,52.360356 4.908336,52.360285 4.908381"
4451,Johan Huizingalaan,50,"52.346844 4.827633,52.345982 4.827659,52.345632 4.827663"
4457,Johan Huizingalaan,50,"52.342584 4.827511,52.341407 4.827555"
4466,Johan van Hasseltweg,30,"52.386395 4.926842,52.386315 4.927166,52.385603 4.929026,52.385078 4.930454"
4498,Prins Hendrikkade,0,"52.338014 4.960386,52.337989 4.960589,52.337957 4.960742,52.337952 4.960817,52.337964 4.961142,52.337953 4.961242,52.337647 4.962925,52.337625 4.963006,52.33723 4.963862,52.33717 4.963888"
4558,Johan van Hasseltweg,50,"52.387356 4.924511,52.387116 4.925072,52.386493 4.926738,52.38643 4.926827,52.386395 4.926842"
4641,Johan van Hasseltweg,50,"52.389099 4.920187,52.38899 4.920211,52.388838 4.920499,52.388736 4.920758,52.388499 4.921422,52.387651 4.923609,52.387569 4.923716"
4658,Johan van Hasseltweg,50,"52.387569 4.923716,52.387551 4.923716,52.387497 4.923746,52.38747 4.923776"
4671,Nieuwe Westerdokstraat,50,"52.381373 4.891748,52.381215 4.892286,52.380906 4.893314,52.380769 4.893749"
4672,Johan van Hasseltweg,50,"52.389099 4.920187,52.389057 4.920341,52.388889 4.920588,52.387706 4.923651,52.387677 4.923803"
4679,Nieuwe Westerdokstraat,50,"52.381489 4.891851,52.381396 4.89211,52.381178 4.892784,52.381008 4.893256,52.38081 4.893827,52.38055 4.894526,52.380496 4.894626,52.380417 4.894709,52.380307 4.894771,52.380091 4.894788,52.380047 4.894803,52.379804 4.894806,52.379759 4.894835"
4691,Johan van Hasseltweg,50,"52.387498 4.924113,52.387356 4.924511"
4711,Johan van Hasseltweg,50,"52.387689 4.924032,52.387678 4.924067,52.38766 4.924097,52.387633 4.924126,52.38757 4.924156,52.387507 4.924128,52.387498 4.924113"
4732,Nieuwe Westerdokstraat,50,"52.380769 4.893749,52.380646 4.894135,52.380557 4.894371,52.380459 4.894534,52.380378 4.894564,52.380315 4.89458,52.379812 4.894629,52.379713 4.89466,52.379686 4.894675"
4787,Radarweg,50,"52.385939 4.835174,52.387306 4.835901,52.387433 4.83595,52.387616 4.835986"
4789,Radarweg,50,"52.390906 4.835914,52.390746 4.83596,52.390607 4.835991,52.390478 4.835994,52.390257 4.835978,52.387715 4.835992"
4808,Radarweg,50,"52.395668 4.835892,52.39667 4.836069,52.396735 4.836124"
4810,Radarweg,50,"52.391972 4.835694,52.39316 4.835673,52.39378 4.835709"
4812,Radarweg,50,"52.387711 4.836239,52.388144 4.836282,52.390888 4.836237"
4819,Radarweg,50,"52.400623 4.836374,52.399382 4.836374,52.398915 4.83641"
4830,Radarweg,50,"52.38478 4.834662,52.38492 4.834749,52.385124 4.834784,52.385259 4.834861,52.385486 4.835074,52.385937 4.835382"
4834,Radarweg,50,"52.387711 4.836239,52.387617 4.836225"
4835,Radarweg,70,"52.384672 4.834664,52.38478 4.834662"
4841,Radarweg,50,"52.387616 4.835986,52.387715 4.835992"
4865,Radarweg,50,"52.390906 4.835914,52.391452 4.835665,52.391596 4.835693"
4876,Radarweg,50,"52.396735 4.836124,52.397116 4.836153,52.397971 4.836289,52.398061 4.836288,52.398753 4.836368,52.398915 4.83641"
4898,Radarweg,50,"52.390888 4.836237,52.391059 4.836272,52.391284 4.836284,52.39159 4.836324"
4902,Radarweg,50,"52.38478 4.834662,52.384911 4.834574,52.38526 4.834758,52.385652 4.835022,52.385939 4.835174"
4903,Radarweg,50,"52.391596 4.835693,52.391972 4.835694"
4908,Radarweg,50,"52.392012 4.836304,52.39159 4.836324"
4915,Radarweg,50,"52.403454 4.836368,52.403508 4.836367,52.403714 4.836394,52.403886 4.836539,52.4045 4.837222,52.404762 4.837527"
4923,Radarweg,50,"52.395653 4.836406,52.395926 4.836335,52.396135 4.836215,52.396293 4.836187,52.396664 4.836142,52.396735 4.836124"
4932,Radarweg,50,"52.393783 4.836326,52.394664 4.83633,52.395401 4.83638,52.395653 4.836406"
4939,Radarweg,50,"52.402986 4.836359,52.403454 4.836368"
4961,Radarweg,50,"52.39378 4.835709,52.395452 4.835836,52.395668 4.835892"
4995,Radarweg,50,"52.392012 4.836304,52.392123 4.836301,52.393172 4.836334,52.393783 4.836326"
4999,Radarweg,50,"52.400623 4.836374,52.402016 4.836371,52.402986 4.836359"
5007,Nassaukade,50,"52.373501 4.875007,52.37369 4.875049,52.374147 4.875044"
5010,Nassaukade,50,"52.371826 4.874047,52.371932 4.874012,52.372112 4.873981,52.372274 4.873964,52.372481 4.874021,52.372706 4.874194,52.372797 4.874311,52.372869 4.874427"
5016,Nassaukade,50,"52.374147 4.875044,52.374364 4.875116,52.374605 4.875215,52.375657 4.875874"
5017,Nassaukade,50,"52.37174 4.874085,52.371667 4.874118,52.370838 4.874451"
5020,Nassaukade,50,"52.377864 4.877263,52.378563 4.877681"
5022,Nassaukade,50,"52.37174 4.874085,52.371826 4.874047"
5024,Nassaukade,50,"52.382065 4.878977,52.381571 4.879115"
5030,Tasmanstraat,50,"52.391628 4.878227,52.391372 4.880046"
5031,Nassaukade,50,"52.36728 4.87687,52.367163 4.876886,52.367011 4.876917,52.366805 4.877023"
5034,Nassaukade,50,"52.366518 4.877261,52.366438 4.877347,52.366286 4.877542,52.366098 4.877851"
5036,Nassaukade,50,"52.366805 4.877023,52.366697 4.877097,52.366607 4.877172,52.366518 4.877261"
5044,Nassaukade,50,"52.368392 4.876225,52.368336 4.876312"
5050,Nassaukade,50,"52.379995 4.878443,52.38014 4.878544,52.380739 4.878926"
5062,Nassaukade,50,"52.378563 4.877681,52.378649 4.877812"
5074,Nassaukade,50,"52.380739 4.878926,52.380888 4.878998,52.380981 4.879032,52.381194 4.87909,52.381427 4.879058,52.381571 4.879115"
5079,Nassaukade,50,"52.378649 4.877812,52.378908 4.877997,52.380168 4.878764,52.381015 4.879297,52.381212 4.87931,52.381337 4.879298"
5091,Nassaukade,50,"52.382735 4.880218,52.382907 4.880392,52.383718 4.880882,52.38445 4.881397,52.384686 4.881397"
5096,Nassaukade,50,"52.382065 4.878977,52.382182 4.879122,52.382309 4.879341,52.382582 4.880014,52.382708 4.880189,52.382735 4.880218"
5103,Nassaukade,50,"52.3787 4.877669,52.378563 4.877681"
5110,Nassaukade,50,"52.379995 4.878443,52.378769 4.877664,52.3787 4.877669"
5119,Nassaukade,50,"52.365642 4.878442,52.365429 4.87859,52.365208 4.878657,52.365106 4.878654,52.365095 4.878657"
5123,Nassaukade,50,"52.364438 4.878547,52.364286 4.878549,52.363774 4.878746"
5130,Nassaukade,50,"52.381571 4.879115,52.381401 4.879293,52.381337 4.879298"
5133,Nassaukade,50,"52.37746 4.877012,52.377864 4.877263"
5140,Tasmanstraat,50,"52.391171 4.881546,52.391102 4.88212,52.390797 4.884489,52.390752 4.884749,52.390685 4.884931"
5141,Nassaukade,50,"52.36988 4.874918,52.369479 4.875099,52.369309 4.875192,52.369099 4.875344,52.368907 4.875526,52.368676 4.8758,52.368509 4.876057,52.368392 4.876225"
5146,Nassaukade,50,"52.377109 4.876794,52.37746 4.877012"
5148,Nassaukade,50,"52.36363 4.878733,52.363693 4.878732,52.363774 4.878746"
5158,Nassaukade,50,"52.372869 4.874427,52.37314 4.874806,52.37333 4.874951,52.373501 4.875007"
5164,Nassaukade,50,"52.364438 4.878547,52.364519 4.878561,52.364591 4.87859,52.364915 4.878659,52.365095 4.878657"
5180,Nassaukade,50,"52.368336 4.876312,52.368178 4.876521,52.36801 4.87668,52.36789 4.876762,52.367773 4.876812,52.367617 4.876856,52.367435 4.876871,52.36728 4.87687"
5182,Nassaukade,50,"52.375657 4.875874,52.377109 4.876794"
5194,Tasmanstraat,50,"52.391372 4.880046,52.391171 4.881546"
5196,Nassaukade,50,"52.370838 4.874451,52.370485 4.874659,52.369964 4.874885"
5198,Nassaukade,50,"52.366098 4.877851,52.365845 4.87823,52.365642 4.878442"
5302,IJ-tunnel,70,"52.373322 4.912043,52.373493 4.912086,52.373763 4.912127,52.374078 4.912168,52.374284 4.91218,52.374419 4.912164,52.375308 4.912008,52.376242 4.911821,52.380139 4.910884,52.381297 4.910622,52.382142 4.910451,52.382312 4.910434,52.382708 4.910445,52.383031 4.910441,52.383211 4.910484,52.383553 4.910597,52.383832 4.910697,52.384176 4.910893,52.384416 4.911055,52.38464 4.911251,52.384719 4.911327"
5373,IJ-tunnel,70,"52.373386 4.912307,52.373701 4.912348,52.373773 4.912362,52.373971 4.912374,52.37442 4.91237,52.374519 4.912354,52.376719 4.911831,52.377383 4.911692,52.37785 4.911584,52.381316 4.910754,52.381909 4.91063,52.382313 4.910581,52.382708 4.910577,52.383023 4.910588,52.38323 4.91063,52.383515 4.91074,52.384008 4.910988,52.384132 4.911073,52.384393 4.911263,52.384583 4.911425,52.384661 4.911501"
5503,Stadionplein,50,"52.345258 4.857963,52.345213 4.857571"
5509,Haarlemmerplein,50,"52.384734 4.883103,52.384788 4.883235,52.385123 4.88351"
5520,Mr. Visserplein,50,"52.367928 4.903578,52.367859 4.903532,52.367808 4.903604,52.367598 4.903954,52.367543 4.904027"
5524,Stadionplein,50,"52.345213 4.857571,52.34517 4.857166,52.345114 4.856775,52.345032 4.85657,52.344983 4.856511"
5527,Haarlemmerplein,50,"52.384653 4.883119,52.384663 4.88328,52.384708 4.883427,52.384806 4.883534,52.385155 4.883808,52.385207 4.883863,52.385236 4.883936,52.385251 4.884004"
5528,Stadionplein,50,"52.344866 4.856863,52.344947 4.85695,52.344991 4.857089,52.345062 4.857591"
5530,Haarlemmerplein,30,"52.384581 4.883128,52.384491 4.883303"
5543,Stadionplein,50,"52.344866 4.856863,52.344754 4.856779,52.344638 4.856789,52.34393 4.857036,52.343102 4.857315"
5556,Haarlemmerplein,30,"52.384491 4.883303,52.384359 4.883542,52.38428 4.883658,52.384171 4.883806,52.384158 4.883906"
5578,Mr. Visserplein,50,"52.3684 4.904043,52.36837 4.903884,52.368285 4.903775,52.36808 4.903548,52.368025 4.903498,52.368003 4.903491,52.367928 4.903578"
5592,Haarlemmerplein,30,"52.384158 4.883906,52.384219 4.88399"
5607,Haarlemmerplein,30,"52.384219 4.88399,52.384352 4.88418"
5614,Haarlemmerplein,50,"52.385123 4.88351,52.385272 4.883636"
5618,Haarlemmerplein,30,"52.385251 4.884004,52.385305 4.883968,52.385375 4.883977"
5624,Mr. Visserplein,50,"52.367928 4.903578,52.368001 4.903646,52.368033 4.903666,52.368314 4.904011,52.3684 4.904043"
5629,Haarlemmerplein,50,"52.384794 4.882368,52.38467 4.882898,52.384653 4.883016,52.384653 4.883119"
5637,Robert Fruinlaan,50,"52.364034 4.83254,52.363999 4.832702,52.364007 4.834439"
5650,Haarlemmerplein,30,"52.384491 4.883303,52.384486 4.883378,52.384391 4.883617,52.384219 4.88399"
5655,Stadionplein,50,"52.344983 4.856511,52.344871 4.856455,52.344663 4.856496,52.343072 4.857074"
5667,Haarlemmerplein,50,"52.384842 4.882608,52.384734 4.883103"
5671,Robert Fruinlaan,50,"52.363999 4.827035,52.364034 4.83254"
5679,Mr. Visserplein,50,"52.367586 4.904187,52.367634 4.90412,52.367812 4.903799,52.367902 4.903699,52.367928 4.903578"
5686,Stadionplein,50,"52.343072 4.857074,52.342436 4.85735"
5703,Stadionplein,50,"52.345062 4.857591,52.345099 4.858002"
5710,Stadionplein,50,"52.343102 4.857315,52.342576 4.857521"
5712,Robert Fruinlaan,50,"52.364034 4.83254,52.364062 4.832716,52.364058 4.833715,52.364066 4.834447"
5725,Amstelveenseweg,50,"52.323578 4.857482,52.32418 4.857489,52.327712 4.857462"
5731,Prins Hendrikkade,50,"52.371825 4.910738,52.371576 4.911387"
5734,Prins Hendrikkade,50,"52.378347 4.897263,52.378188 4.897604,52.377956 4.89802,52.377707 4.898393,52.377586 4.898512"
5738,Amstelveenseweg,50,"52.342436 4.85735,52.34202 4.857509,52.341651 4.857578,52.341123 4.857552"
