,pand_id,risk_score_small,risk_score_big,small_normalized,big_normalized
0,363100012236021.0,98,272,0.050314465408805034,0.1195748449955713
1,363100012159916.0,122,217,0.06289308176100629,0.09521700620017715
2,363100012160348.0,83,290,0.04245283018867925,0.1275465013286094
3,363100012152835.0,120,256,0.06184486373165619,0.112488928255093
4,363100012160950.0,127,252,0.06551362683438156,0.11071744906997343
5,363100012156395.0,154,259,0.07966457023060797,0.11381753764393268
6,363100012152525.0,108,289,0.05555555555555556,0.1271036315323295
7,363100012167184.0,156,291,0.08071278825995808,0.1279893711248893
8,363100012162326.0,132,238,0.06813417190775681,0.10451727192205491
9,363100012152308.0,85,217,0.04350104821802935,0.09521700620017715
10,363100012152411.0,65,229,0.03301886792452831,0.10053144375553587
11,363100012164889.0,52,163,0.026205450733752623,0.07130203720106289
12,363100012236558.0,64,122,0.032494758909853254,0.053144375553587246
13,363100012236229.0,47,333,0.02358490566037736,0.14658990256864485
14,363100012236129.0,36,348,0.017819706498951784,0.15323294951284325
15,363100012125963.0,49,347,0.024633123689727462,0.15279007971656336
16,363100012143801.0,265,488,0.1378406708595388,0.21523472099202837
17,363100012079509.0,110,418,0.05660377358490567,0.1842338352524358
18,363100012066791.0,122,392,0.06289308176100629,0.17271922054915856
19,363100012128865.0,274,391,0.14255765199161427,0.17227635075287867
20,363100012061854.0,455,577,0.23742138364779877,0.2546501328609389
21,363100012241772.0,502,553,0.2620545073375262,0.24402125775022146
22,363100012241766.0,235,261,0.12211740041928722,0.11470327723649247
23,363100012241767.0,30,269,0.014675052410901467,0.11824623560673163
24,363100012241768.0,34,278,0.016771488469601678,0.12223206377325066
25,363100012241769.0,34,47,0.016771488469601678,0.01992914083259522
26,363100012241770.0,30,74,0.014675052410901467,0.03188662533215235
27,363100012241771.0,22,75,0.010482180293501047,0.03232949512843224
28,363100012247344.0,438,517,0.22851153039832287,0.22807794508414528
29,363100012164538.0,192,301,0.09958071278825996,0.13241806908768824
30,363100012064223.0,157,310,0.08123689727463312,0.1364038972542073
31,363100012236444.0,183,368,0.09486373165618449,0.1620903454384411
32,363100012143743.0,113,341,0.058176100628930826,0.15013286093888398
33,363100012237393.0,146,421,0.07547169811320754,0.18556244464127547
34,363100012067428.0,194,371,0.10062893081761007,0.1634189548272808
35,363100012092631.0,118,360,0.060796645702306085,0.15854738706820196
36,363100012236800.0,161,500,0.08333333333333333,0.22054915854738708
37,363100012241549.0,118,352,0.060796645702306085,0.15500442869796283
38,363100012107253.0,125,358,0.06446540880503145,0.15766164747564218
39,363100012158582.0,155,309,0.08018867924528301,0.13596102745792737
40,363100012164447.0,142,282,0.07337526205450734,0.12400354295837024
41,363100012159574.0,117,286,0.06027253668763103,0.12577502214348982
42,363100012165156.0,120,322,0.06184486373165619,0.141718334809566
43,363100012156084.0,120,284,0.06184486373165619,0.12488928255093003
44,363100012162242.0,178,333,0.09224318658280922,0.14658990256864485
45,363100012164320.0,120,272,0.06184486373165619,0.1195748449955713
46,363100012153766.0,242,446,0.1257861635220126,0.19663418954827283
47,363100012167335.0,120,251,0.06184486373165619,0.11027457927369354
48,363100012236182.0,151,386,0.07809224318658281,0.1700620017714792
49,363100012160164.0,120,247,0.06184486373165619,0.10850310008857396
50,363100012156341.0,114,218,0.05870020964360587,0.09565987599645705
51,363100012165506.0,186,389,0.09643605870020965,0.1713906111603189
52,363100012156611.0,104,208,0.053459119496855355,0.0912311780336581
53,363100012237348.0,174,393,0.09014675052410902,0.17316209034543845
54,363100012153579.0,96,187,0.04926624737945493,0.08193091231178033
55,363100012233603.0,193,441,0.100104821802935,0.19441984056687336
56,363100012063882.0,88,199,0.04507337526205451,0.08724534986713907
57,363100012092761.0,97,407,0.049790356394129986,0.17936226749335696
58,363100012132728.0,99,396,0.05083857442348009,0.17449069973427814
59,363100012095804.0,489,593,0.2552410901467505,0.2617360496014172
60,363100012140373.0,141,312,0.07285115303983228,0.13728963684676707
61,363100012164488.0,120,309,0.06184486373165619,0.13596102745792737
62,363100012129127.0,1023,1504,0.5351153039832286,0.6651904340124004
63,363100012093813.0,188,412,0.09748427672955975,0.18157661647475645
64,363100012066899.0,107,296,0.05503144654088051,0.13020372010628878
65,363100012114602.0,116,276,0.05974842767295598,0.12134632418069088
66,363100012068680.0,563,796,0.2940251572327044,0.35163861824623566
67,363100012150951.0,100,270,0.05136268343815514,0.11868910540301152
68,363100012066244.0,80,249,0.04088050314465409,0.10938883968113375
69,363100012078670.0,90,239,0.04612159329140462,0.10496014171833482
70,363100012098885.0,98,440,0.050314465408805034,0.19397697077059348
71,363100012099939.0,109,461,0.056079664570230614,0.20327723649247123
72,363100012236615.0,552,796,0.2882599580712788,0.35163861824623566
73,363100012236099.0,442,695,0.23060796645702308,0.3069087688219664
74,363100012162157.0,311,674,0.16194968553459121,0.2976085031000886
75,363100012164627.0,314,540,0.16352201257861637,0.23826395039858284
76,363100012156394.0,120,455,0.06184486373165619,0.20062001771479188
77,363100012164726.0,318,561,0.1656184486373166,0.24756421612046062
78,363100012158773.0,131,410,0.06761006289308176,0.18069087688219665
79,363100012167207.0,322,562,0.16771488469601678,0.2480070859167405
80,363100012164445.0,374,473,0.1949685534591195,0.20859167404782997
81,363100012237133.0,327,557,0.17033542976939206,0.24579273693534104
82,363100012162662.0,290,457,0.15094339622641512,0.20150575730735165
83,363100012159746.0,238,348,0.12368972746331237,0.15323294951284325
84,363100012237329.0,333,690,0.17348008385744237,0.3046944198405669
85,363100012101665.0,818,1502,0.4276729559748428,0.6643046944198406
86,363100012124587.0,350,732,0.18238993710691825,0.32329495128432245
87,363100012163519.0,340,723,0.17714884696016772,0.3193091231178034
88,363100012155603.0,345,508,0.179769392033543,0.22409211691762623
89,363100012154254.0,342,508,0.17819706498951784,0.22409211691762623
90,363100012167373.0,342,514,0.17819706498951784,0.2267493356953056
91,363100012167449.0,340,534,0.17714884696016772,0.23560673162090348
92,363100012092390.0,340,519,0.17714884696016772,0.22896368467670508
93,363100012117430.0,220,440,0.11425576519916143,0.19397697077059348
94,363100012116525.0,90,428,0.04612159329140462,0.18866253321523474
95,363100012077936.0,192,469,0.09958071278825996,0.2068201948627104
96,363100012127864.0,292,541,0.1519916142557652,0.23870682019486272
97,363100012116204.0,248,383,0.12893081761006292,0.1687333923826395
98,363100012109895.0,302,410,0.15723270440251574,0.18069087688219665
99,363100012135164.0,424,569,0.22117400419287214,0.25110717449069975
100,363100012118444.0,243,576,0.12631027253668764,0.254207263064659
101,363100012091343.0,330,443,0.17190775681341722,0.19530558015943314
102,363100012126283.0,783,1359,0.40932914046121593,0.6009743135518157
103,363100012094544.0,366,519,0.1907756813417191,0.22896368467670508
104,363100012111748.0,85,241,0.04350104821802935,0.1058458813108946
105,363100012061690.0,236,530,0.12264150943396226,0.2338352524357839
106,363100012124921.0,88,1315,0.04507337526205451,0.5814880425155005
107,363100012236626.0,128,524,0.0660377358490566,0.23117803365810455
108,363100012246848.0,836,1246,0.4371069182389937,0.5509300265721878
109,363100012155550.0,644,745,0.33647798742138363,0.32905225863596105
110,363100012236163.0,183,468,0.09486373165618449,0.2063773250664305
111,363100012156704.0,131,498,0.06761006289308176,0.2196634189548273
112,363100012236713.0,204,298,0.10587002096436059,0.13108945969884855
113,363100012161077.0,122,278,0.06289308176100629,0.12223206377325066
114,363100012153339.0,142,264,0.07337526205450734,0.11603188662533215
115,363100012161273.0,114,288,0.05870020964360587,0.12666076173604962
116,363100012165837.0,146,230,0.07547169811320754,0.10097431355181577
117,363100012164468.0,76,241,0.03878406708595388,0.1058458813108946
118,363100012236675.0,185,230,0.0959119496855346,0.10097431355181577
119,363100012159551.0,151,213,0.07809224318658281,0.09344552701505758
120,363100012161046.0,143,246,0.07389937106918239,0.10806023029229407
121,363100012163786.0,117,230,0.06027253668763103,0.10097431355181577
122,363100012235898.0,147,245,0.0759958071278826,0.10761736049601417
123,363100012153794.0,116,214,0.05974842767295598,0.09388839681133747
124,363100012159658.0,108,287,0.05555555555555556,0.12621789193976973
125,363100012069825.0,133,346,0.06865828092243187,0.15234720992028344
126,363100012153706.0,104,304,0.053459119496855355,0.1337466784765279
127,363100012161497.0,250,302,0.12997903563941302,0.13286093888396813
128,363100012161299.0,274,314,0.14255765199161427,0.13817537643932684
129,363100012237163.0,426,495,0.22222222222222224,0.2183348095659876
130,363100012166028.0,311,311,0.16194968553459121,0.13684676705048718
131,363100012157454.0,362,362,0.18867924528301888,0.15943312666076176
132,363100012237037.0,139,288,0.07180293501048218,0.12666076173604962
133,363100012084987.0,382,406,0.19916142557651995,0.17891939769707707
134,363100012074376.0,452,543,0.23584905660377362,0.23959255978742253
135,363100012154212.0,208,443,0.1079664570230608,0.19530558015943314
136,363100012160480.0,158,393,0.08176100628930817,0.17316209034543845
137,363100012156152.0,96,405,0.04926624737945493,0.17847652790079718
138,363100012160663.0,96,417,0.04926624737945493,0.18379096545615592
139,363100012163184.0,96,355,0.04926624737945493,0.1563330380868025
140,363100012162118.0,96,355,0.04926624737945493,0.1563330380868025
141,363100012157805.0,96,367,0.04926624737945493,0.16164747564216123
142,363100012164151.0,96,355,0.04926624737945493,0.1563330380868025
143,363100012155342.0,96,367,0.04926624737945493,0.16164747564216123
144,363100012161084.0,96,355,0.04926624737945493,0.1563330380868025
145,363100012157639.0,96,367,0.04926624737945493,0.16164747564216123
146,363100012167440.0,96,355,0.04926624737945493,0.1563330380868025
147,363100012165973.0,96,367,0.04926624737945493,0.16164747564216123
148,363100012166548.0,96,355,0.04926624737945493,0.1563330380868025
149,363100012160272.0,96,367,0.04926624737945493,0.16164747564216123
150,363100012163057.0,96,355,0.04926624737945493,0.1563330380868025
151,363100012153123.0,96,367,0.04926624737945493,0.16164747564216123
152,363100012162068.0,96,294,0.04926624737945493,0.12931798051372898
153,363100012162500.0,96,306,0.04926624737945493,0.1346324180690877
154,363100012162889.0,96,252,0.04926624737945493,0.11071744906997343
155,363100012162002.0,96,264,0.04926624737945493,0.11603188662533215
156,363100012165376.0,96,252,0.04926624737945493,0.11071744906997343
157,363100012161766.0,120,228,0.06184486373165619,0.10008857395925598
158,363100012163348.0,120,204,0.06184486373165619,0.08945969884853854
159,363100012164083.0,120,249,0.06184486373165619,0.10938883968113375
160,363100012236289.0,377,810,0.19654088050314467,0.35783879539415414
161,363100012236937.0,548,727,0.2861635220125786,0.32108060230292296
162,363100012122126.0,264,381,0.13731656184486374,0.16784765279007974
163,363100012158925.0,116,221,0.05974842767295598,0.09698848538529672
164,363100012165201.0,104,379,0.053459119496855355,0.16696191319751993
165,363100012147154.0,346,514,0.18029350104821804,0.2267493356953056
166,363100012145175.0,221,253,0.11477987421383648,0.11116031886625333
167,363100012154113.0,128,261,0.0660377358490566,0.11470327723649247
168,363100012163918.0,169,287,0.08752620545073375,0.12621789193976973
169,363100012159406.0,135,238,0.06970649895178196,0.10451727192205491
170,363100012236821.0,222,350,0.11530398322851153,0.15411868910540302
171,363100012163378.0,104,359,0.053459119496855355,0.15810451727192207
172,363100012236602.0,260,385,0.13522012578616355,0.16961913197519932
173,363100012161671.0,403,528,0.21016771488469604,0.2329495128432241
