,pand_id,full_adress,wgs,gebruiksdoelVerblijfsobject,neighbors,linked_small,linked_big,ov_small,ov_big
10,363100012152411.0,"Eerste Boerhaavestraat 18
1091SB Amsterdam","[[52.35810274515947, 4.907380778392016], [52.35811002698793, 4.907376780201164], [52.35810748424214, 4.907365886069714], [52.3580952339752, 4.907306023005744], [52.35798259751049, 4.9073675447414535], [52.35799026311451, 4.9074050121822195], [52.35801688873664, 4.907390470435872], [52.35802339902488, 4.907422298763373], [52.35810274515947, 4.907380778392016]]","['woonfunctie', 'woonfunctie']",[363100012152308.0],"[363100012162326.0, 363100012152308.0, 363100012236098.0]","[363100012160950.0, 363100012156395.0, 363100012152525.0, 363100012167184.0, 363100012162326.0, 363100012152308.0, 363100012164889.0, 363100012143801.0, 363100012079509.0, 363100012107373.0, 363100012236098.0, 363100012164716.0, 363100012165805.0, 363100012236818.0, 363100012078790.0]",[],[]
11,363100012164889.0,"Eerste Boerhaavestraat 20
1091SC Amsterdam","[[52.35816681997078, 4.907653919272272], [52.35815260647612, 4.9075841832049765], [52.35806668349718, 4.907628475380689], [52.35801466459554, 4.907655607581645], [52.35802881388839, 4.9077250358773625], [52.35816681997078, 4.907653919272272]]","['industriefunctie', 'woonfunctie']","[363100012236558.0, 363100012078790.0]","[363100012236558.0, 363100012236229.0, 363100012078790.0, 363100012110024.0, 363100012116374.0]","[363100012152411.0, 363100012236558.0, 363100012236229.0, 363100012236129.0, 363100012079509.0, 363100012066791.0, 363100012128865.0, 363100012061854.0, 363100012236098.0, 363100012164716.0, 363100012159825.0, 363100012236818.0, 363100012078790.0, 363100012110024.0, 363100012116374.0, 363100012080744.0]",[],[]
12,363100012236558.0,"Eerste Boerhaavestraat 22
1091SC Amsterdam","[[52.35818102443704, 4.907723655481479], [52.35816681997078, 4.907653919272272], [52.35802881388839, 4.9077250358773625], [52.358026777925524, 4.907726085446188], [52.35803561101433, 4.907772230683252], [52.358089709237085, 4.907743652219346], [52.35809473363882, 4.907768127544318], [52.35818102443704, 4.907723655481479]]","['woonfunctie', 'woonfunctie']","[363100012164889.0, 363100012236229.0, 363100012078790.0]","[363100012164889.0, 363100012236229.0, 363100012236129.0, 363100012078790.0, 363100012110024.0, 363100012116374.0]","[363100012164889.0, 363100012236229.0, 363100012236129.0, 363100012079509.0, 363100012066791.0, 363100012128865.0, 363100012061854.0, 363100012159825.0, 363100012236818.0, 363100012078790.0, 363100012110024.0, 363100012116374.0, 363100012080744.0]",[],[]
13,363100012236229.0,"Eerste Boerhaavestraat 24
1091SC Amsterdam","[[52.3581952377901, 4.907793376959381], [52.35818102443704, 4.907723655481479], [52.35809473363882, 4.907768127544318], [52.35810015215945, 4.907794492285559], [52.35809858395346, 4.907795639556755], [52.35810740423536, 4.907838628905618], [52.3581952377901, 4.907793376959381]]","['woonfunctie', 'woonfunctie']","[363100012236558.0, 363100012236129.0]","[363100012164889.0, 363100012236558.0, 363100012236129.0, 363100012078790.0]","[363100012164889.0, 363100012236558.0, 363100012236129.0, 363100012079509.0, 363100012066791.0, 363100012128865.0, 363100012061854.0, 363100012247344.0, 363100012236818.0, 363100012078790.0, 363100012110024.0, 363100012116374.0, 363100012080744.0, 363100012075650.0, 363100012104938.0, 363100012084268.0]",[],[]
14,363100012236129.0,"Eerste Boerhaavestraat 26
1091SC Amsterdam","[[52.358209433186865, 4.9078631133552335], [52.3581952377901, 4.907793376959381], [52.35810740423536, 4.907838628905618], [52.358116545477344, 4.907883200202169], [52.358118069698484, 4.907882288282423], [52.3581234938528, 4.907907830932316], [52.358209433186865, 4.9078631133552335]]","['woonfunctie', 'woonfunctie']",[363100012236229.0],"[363100012236558.0, 363100012236229.0, 363100012078790.0]","[363100012164889.0, 363100012236558.0, 363100012236229.0, 363100012079509.0, 363100012066791.0, 363100012128865.0, 363100012061854.0, 363100012247344.0, 363100012236818.0, 363100012078790.0, 363100012110024.0, 363100012116374.0, 363100012080744.0, 363100012137739.0, 363100012075650.0, 363100012104938.0, 363100012084268.0]",[],[]
15,363100012125963.0,"Wibautstraat 4 1091GM
Eerste Boerhaavestraat 35 1091RZ
All in Amsterdam","[[52.35903239246957, 4.9089381881854965], [52.359247360947975, 4.90880919771706], [52.359265248083275, 4.9087984646480995], [52.3592975525586, 4.908779091093652], [52.35931543969097, 4.9087683580003505], [52.359329838877855, 4.908759673666621], [52.35932345465622, 4.908732261531122], [52.359422412580706, 4.908672988150494], [52.35942339869502, 4.908672360954621], [52.359403237191195, 4.908582927421047], [52.35941483866705, 4.908575843950292], [52.359367966421274, 4.908366616070034], [52.3593562106889, 4.908373334252199], [52.35933614055465, 4.908284325722349], [52.35923358846386, 4.908346002117655], [52.359229204853754, 4.908326598456105], [52.359230549746975, 4.908325791223709], [52.35920849422479, 4.908228128535826], [52.35922392465836, 4.908218875077077], [52.35922795172219, 4.90823678521689], [52.35927932666342, 4.908205960544956], [52.35927140965032, 4.908170711272001], [52.359042564737976, 4.90715244327271], [52.35904139031439, 4.907153175293568], [52.35900133069429, 4.907177228623104], [52.35900646532232, 4.9072000443661965], [52.35899687179315, 4.907205799901062], [52.35895213172607, 4.907232604882856], [52.35895266239485, 4.907234918564673], [52.35898103626273, 4.907361196386889], [52.35899038142132, 4.907402815599583], [52.35899526906444, 4.907424577080564], [52.3589825284669, 4.9074322162576385], [52.3589801397009, 4.907421613841966], [52.358953313677894, 4.907437714121695], [52.358977586302444, 4.907545598459075], [52.35898231132542, 4.907542758205231], [52.358985094505705, 4.907555323470482], [52.358981974348836, 4.907557192183107], [52.359119055485195, 4.90816768774916], [52.35912234599516, 4.908165714475145], [52.3591228402806, 4.908167925810051], [52.35912921040031, 4.908196262729993], [52.35913231317585, 4.908210087102546], [52.35912066636887, 4.908217068353504], [52.35914158763738, 4.908309839981724], [52.3591683780074, 4.908293784586235], [52.35916014076238, 4.9082571295668656], [52.35917997346623, 4.90824523025982], [52.35920642174729, 4.908362340485796], [52.35916817316652, 4.908385345672898], [52.35917658344656, 4.908422571373763], [52.359183419636125, 4.908452826410409], [52.35918830655195, 4.90847445598845], [52.35917385375848, 4.908483214365159], [52.35917078745164, 4.908485067759507], [52.359044271405246, 4.908561667184563], [52.35900182739523, 4.908587359748071], [52.35899660036208, 4.908590528264001], [52.35898949734302, 4.908558734822863], [52.35899086825027, 4.908557692442977], [52.3589921482752, 4.908556401485095], [52.35899332848983, 4.908554876725399], [52.35899439097881, 4.9085531330370245], [52.358995317826825, 4.9085511852931125], [52.35899609123729, 4.908549077725328], [52.3589967203162, 4.9085468395952505], [52.35899716917359, 4.908544485969932], [52.35899744697484, 4.908542060790225], [52.35899755389801, 4.908539608093934], [52.358997481074475, 4.908537157336541], [52.35899722856359, 4.908534723197339], [52.35899679660279, 4.9085323643933805], [52.35899620322607, 4.908530095410061], [52.358995448670896, 4.908527974964426], [52.35899454192459, 4.908526002959541], [52.358993501139864, 4.908524223239293], [52.3589923443508, 4.908522650289042], [52.358991071735446, 4.9085213281465485], [52.35898971918381, 4.908520241744752], [52.358988295861266, 4.90851943502445], [52.35898681974249, 4.908518907791723], [52.35898531784888, 4.908518674434946], [52.35898381714238, 4.908518734663247], [52.3589823175637, 4.908519073797337], [52.35898086410879, 4.908519706031702], [52.35897903577646, 4.908512092210801], [52.35893818617996, 4.908536446396039], [52.35893722654353, 4.908532507860418], [52.3589133859684, 4.908546798984343], [52.35892040596814, 4.908578064789127], [52.35892422235219, 4.908595008239336], [52.35892531154805, 4.908599870209829], [52.35894027615417, 4.908590988961257], [52.358947073443645, 4.908620524967846], [52.35892820943381, 4.90863194384088], [52.35891121033745, 4.908642241601828], [52.35883923311957, 4.908685838949084], [52.35875723207459, 4.908735489562685], [52.3587542823022, 4.908737268266464], [52.358739694974425, 4.9087461013208635], [52.35873479941736, 4.9087245454240716], [52.35872793633497, 4.908694290941817], [52.35871936205378, 4.9086564948224805], [52.35862052543591, 4.908714650324561], [52.35860293334514, 4.908724998415238], [52.35858315344637, 4.908736632546727], [52.358571192228105, 4.90874366100159], [52.358551663260755, 4.90875511625386], [52.358571430023645, 4.908844757921003], [52.358559906983565, 4.908851238470518], [52.35860690538459, 4.90906075528398], [52.35861873228603, 4.909053845794532], [52.35863878446118, 4.909143000221035], [52.358663207804796, 4.909128336233921], [52.358667421773895, 4.909125795270817], [52.35867129505417, 4.909123463494723], [52.35867516833442, 4.909121131718224], [52.35867905060194, 4.90911879984449], [52.35868293281014, 4.909116453291191], [52.35868681507756, 4.9091141214166365], [52.358738682779325, 4.909082852437008], [52.35874295847699, 4.90910227180043], [52.35874480806595, 4.909110707445427], [52.35874704075437, 4.909109406246793], [52.35875138030852, 4.909106805204742], [52.358755710875265, 4.9091042042590125], [52.35876005037001, 4.909101588536764], [52.35876439891131, 4.9090989873963515], [52.358768738465194, 4.90909638635226], [52.35877306903169, 4.909093785404491], [52.3587774175728, 4.909091184262548], [52.35881014343721, 4.909071542358447], [52.358814751958285, 4.909068776932678], [52.35881935149196, 4.9090660116031675], [52.358823960012906, 4.909063246176248], [52.35882855960573, 4.909060495524793], [52.358833168126516, 4.90905773009672], [52.358939316514586, 4.908994035370188], [52.35903239246957, 4.9089381881854965]]","['onderwijsfunctie', 'onderwijsfunctie']","[363100012241772.0, 363100012145846.0, 363100012245513.0]","[363100012241772.0, 363100012145846.0, 363100012237127.0, 363100012245513.0]","[363100012241772.0, 363100012241770.0, 363100012241771.0, 363100012247344.0, 363100012155714.0, 363100012145846.0, 363100012154252.0, 363100012162977.0, 363100012164018.0, 363100012081040.0, 363100012237127.0, 363100012116088.0, 363100012162182.0, 363100012245513.0]",[],[]
16,363100012143801.0,"Eerste Boerhaavestraat 6-8
1091SB Amsterdam","[[52.357806039367155, 4.907233727149267], [52.35790564734929, 4.907179788778812], [52.35790428192747, 4.907173315193332], [52.35789522725703, 4.90713021127104], [52.357892514560874, 4.907117307948791], [52.35783789921098, 4.90714687617159], [52.35782034901447, 4.907061146858011], [52.3579098391527, 4.907012235213442], [52.35792439099291, 4.907083317576015], [52.35803703623817, 4.907021780424132], [52.35802247537378, 4.90695069799875], [52.358007051008784, 4.906872813644981], [52.35791699234082, 4.906918928039809], [52.357852329693685, 4.906955372518054], [52.35780646952666, 4.9069807799461715], [52.35778504174933, 4.906876405726192], [52.35777838779993, 4.9068800889043365], [52.357725757160495, 4.9069092541957335], [52.357740206748296, 4.906979485926746], [52.35776485149903, 4.907099238750841], [52.35778167553817, 4.907180997683349], [52.35779429393097, 4.907174255413427], [52.357806039367155, 4.907233727149267]]","['woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie']","[363100012152835.0, 363100012167184.0, 363100012236098.0, 363100012158093.0, 363100012165937.0]","[363100012159916.0, 363100012152835.0, 363100012167184.0, 363100012162326.0, 363100012236098.0, 363100012153170.0, 363100012158093.0, 363100012165937.0, 363100012155314.0]","[363100012236021.0, 363100012159916.0, 363100012160348.0, 363100012152835.0, 363100012160950.0, 363100012156395.0, 363100012152525.0, 363100012167184.0, 363100012162326.0, 363100012152308.0, 363100012152411.0, 363100012236098.0, 363100012164716.0, 363100012165805.0, 363100012153226.0, 363100012149402.0, 363100012127170.0, 363100012236511.0, 363100012161295.0, 363100012165668.0, 363100012164824.0, 363100012161139.0, 363100012153170.0, 363100012158093.0, 363100012165937.0, 363100012155314.0]",[],[]
17,363100012079509.0,"Eerste Boerhaavestraat 11
1091RZ Amsterdam","[[52.358355130173486, 4.907640448800157], [52.35834922565602, 4.907611711069628], [52.35832517654618, 4.9074946510096895], [52.358302701817124, 4.907506623021425], [52.35830237143268, 4.907504938430957], [52.35829835361353, 4.9075070810558845], [52.35829868393848, 4.907508750967195], [52.35827433484048, 4.907521726762949], [52.35827400451573, 4.907520056852459], [52.35827020179747, 4.90752205035291], [52.35827053349025, 4.907524057880622], [52.35825915265187, 4.907552307119868], [52.35825790573215, 4.907552893104186], [52.35825917221307, 4.9075593531425366], [52.358260239505086, 4.907558798459242], [52.35826798670034, 4.907598672748897], [52.35826691940813, 4.90759922743133], [52.358268195349574, 4.907605804807306], [52.358269271629155, 4.907605250027881], [52.358276054920594, 4.907640143665998], [52.35827497864085, 4.907640698444663], [52.358276217798156, 4.907647070705283], [52.358277285090594, 4.907646516023886], [52.3582824253282, 4.907672957264385], [52.358281358035654, 4.907673511945213], [52.35828257891923, 4.907679811006812], [52.35828391642641, 4.907679400202794], [52.358355130173486, 4.907640448800157]]","['winkelfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie']","[363100012066791.0, 363100012236818.0]","[363100012066791.0, 363100012128865.0, 363100012119799.0, 363100012236818.0]","[363100012152525.0, 363100012152411.0, 363100012164889.0, 363100012236558.0, 363100012236229.0, 363100012236129.0, 363100012066791.0, 363100012128865.0, 363100012061854.0, 363100012247344.0, 363100012107373.0, 363100012091132.0, 363100012081534.0, 363100012119799.0, 363100012236818.0]",[],[]
18,363100012066791.0,"Eerste Boerhaavestraat 13
1091RZ Amsterdam","[[52.35841182871004, 4.907712427202271], [52.35839468250547, 4.907630919946958], [52.35835967666114, 4.907649001963483], [52.358355130173486, 4.907640448800157], [52.35828391642641, 4.907679400202794], [52.358290138873194, 4.907708971205457], [52.358289295907035, 4.907709435383604], [52.35829599490289, 4.907741276593331], [52.35829683786915, 4.907740812415719], [52.35830363761958, 4.907773122296387], [52.35841182871004, 4.907712427202271]]","['woonfunctie', 'woonfunctie', 'woonfunctie', 'woonfunctie']","[363100012079509.0, 363100012128865.0, 363100012236818.0]","[363100012079509.0, 363100012128865.0, 363100012061854.0, 363100012119799.0, 363100012236818.0]","[363100012164889.0, 363100012236558.0, 363100012236229.0, 363100012236129.0, 363100012079509.0, 363100012128865.0, 363100012061854.0, 363100012241772.0, 363100012241766.0, 363100012241767.0, 363100012241768.0, 363100012247344.0, 363100012091132.0, 363100012081534.0, 363100012119799.0, 363100012236818.0]",[],[]
19,363100012128865.0,"Eerste Boerhaavestraat 15
1091RZ Amsterdam","[[52.3584283829754, 4.90778759928037], [52.35841182871004, 4.907712427202271], [52.35830363761958, 4.907773122296387], [52.35831938340264, 4.907848405704775], [52.3584283829754, 4.90778759928037]]","['woonfunctie', 'woonfunctie']","[363100012066791.0, 363100012061854.0]","[363100012079509.0, 363100012066791.0, 363100012061854.0, 363100012247344.0, 363100012236818.0]","[363100012164889.0, 363100012236558.0, 363100012236229.0, 363100012236129.0, 363100012079509.0, 363100012066791.0, 363100012061854.0, 363100012241772.0, 363100012241766.0, 363100012241767.0, 363100012241768.0, 363100012247344.0, 363100012091132.0, 363100012081534.0, 363100012119799.0, 363100012236818.0, 363100012075650.0, 363100012084268.0]",[],[]
