,pand_id,small_fire,big_fire
0,363100012236021.0,1.0,1.0
1,363100012159916.0,1.0,1.0
2,363100012160348.0,1.0,1.0
3,363100012152835.0,1.0,1.0
4,363100012160950.0,1.0,1.0
5,363100012156395.0,1.0,1.0
6,363100012152525.0,1.0,1.0
7,363100012167184.0,1.0,1.0
8,363100012162326.0,1.0,1.0
9,363100012152308.0,1.0,1.0
10,363100012152411.0,1.0,1.0
11,363100012164889.0,1.0,1.0
12,363100012236558.0,1.0,1.0
13,363100012236229.0,1.0,1.0
14,363100012236129.0,1.0,1.0
15,363100012125963.0,1.0,1.0
16,363100012143801.0,1.0,1.0
17,363100012079509.0,1.0,1.0
18,363100012066791.0,1.0,1.0
19,363100012128865.0,1.0,1.0
20,363100012061854.0,1.0,1.0
21,363100012241772.0,1.0,1.0
22,363100012241766.0,1.0,1.0
23,363100012241767.0,1.0,1.0
24,363100012241768.0,1.0,1.0
25,363100012241769.0,1.0,1.0
26,363100012241770.0,1.0,1.0
27,363100012241771.0,1.0,1.0
28,363100012247344.0,1.0,1.0
29,363100012164538.0,1.6666666666666665,1.4285714285714286
30,363100012064223.0,1.3333333333333333,1.1428571428571428
31,363100012236444.0,1.3333333333333333,1.1428571428571428
32,363100012143743.0,1.3333333333333333,1.1428571428571428
33,363100012237393.0,1.3333333333333333,1.1428571428571428
34,363100012067428.0,1.3333333333333333,1.1428571428571428
35,363100012092631.0,1.3333333333333333,1.1428571428571428
36,363100012236800.0,1.3333333333333333,1.1428571428571428
37,363100012241549.0,1.3333333333333333,1.1428571428571428
38,363100012107253.0,1.0,1.0
39,363100012158582.0,1.3333333333333333,1.1428571428571428
40,363100012164447.0,1.3333333333333333,1.1428571428571428
41,363100012159574.0,1.3333333333333333,1.1428571428571428
42,363100012165156.0,1.3333333333333333,1.1428571428571428
43,363100012156084.0,1.3333333333333333,1.1428571428571428
44,363100012162242.0,1.3333333333333333,1.1428571428571428
45,363100012164320.0,1.3333333333333333,1.1428571428571428
46,363100012153766.0,1.3333333333333333,1.1428571428571428
47,363100012167335.0,1.3333333333333333,1.1428571428571428
48,363100012236182.0,1.3333333333333333,1.1428571428571428
49,363100012160164.0,1.3333333333333333,1.1428571428571428
50,363100012156341.0,1.3333333333333333,1.1428571428571428
51,363100012165506.0,1.3333333333333333,1.1428571428571428
52,363100012156611.0,1.3333333333333333,1.1428571428571428
53,363100012237348.0,1.3333333333333333,1.1428571428571428
54,363100012153579.0,1.3333333333333333,1.1428571428571428
55,363100012233603.0,1.3333333333333333,1.1428571428571428
56,363100012063882.0,1.3333333333333333,1.1428571428571428
57,363100012092761.0,1.3333333333333333,1.1428571428571428
58,363100012132728.0,1.3333333333333333,1.1428571428571428
59,363100012095804.0,1.3333333333333333,1.1428571428571428
60,363100012140373.0,1.3333333333333333,1.1428571428571428
61,363100012164488.0,1.3333333333333333,1.1428571428571428
62,363100012129127.0,1.0,1.1428571428571428
63,363100012093813.0,1.3333333333333333,1.1428571428571428
64,363100012066899.0,1.3333333333333333,1.1428571428571428
65,363100012114602.0,1.3333333333333333,1.1428571428571428
66,363100012068680.0,1.0,1.0
67,363100012150951.0,1.3333333333333333,1.1428571428571428
68,363100012066244.0,1.3333333333333333,1.1428571428571428
69,363100012078670.0,1.3333333333333333,1.1428571428571428
70,363100012098885.0,1.3333333333333333,1.1428571428571428
71,363100012099939.0,1.3333333333333333,1.1428571428571428
72,363100012236615.0,1.0,1.0
73,363100012236099.0,1.0,1.0
74,363100012162157.0,1.0,1.0
75,363100012164627.0,1.0,1.0
76,363100012156394.0,1.0,1.1428571428571428
77,363100012164726.0,1.0,1.0
78,363100012158773.0,1.0,1.0
79,363100012167207.0,1.0,1.0
80,363100012164445.0,1.0,1.0
81,363100012237133.0,1.0,1.0
82,363100012162662.0,1.0,1.0
83,363100012159746.0,1.0,1.0
84,363100012237329.0,1.0,1.0
85,363100012101665.0,1.0,1.0
86,363100012124587.0,1.0,1.0
87,363100012163519.0,1.0,1.0
88,363100012155603.0,1.0,1.0
89,363100012154254.0,1.0,1.0
