STT_NAAM,AUTO,WKT_LAT_LNG,number
IJdoornlaan,plus,"52.397372 4.951588,52.397159 4.95228,52.396741 4.953592,52.396616 4.953843,52.396446 4.954065,52.39599 4.954525,52.3959 4.954599",507
Linnaeusstraat,hoofd,"52.360477 4.925085,52.360073 4.925353",508
Linnaeusstraat,hoofd,"52.359509 4.925726,52.358968 4.926074",509
IJdoornlaan,plus,"52.399758 4.942983,52.399759 4.943218,52.399723 4.943439,52.399724 4.943601",510
IJdoornlaan,plus,"52.40715 4.919498,52.407041 4.919847,52.406894 4.920278,52.406784 4.920558,52.406541 4.921078,52.406478 4.921196",511
Europaboulevard,plus,"52.328698 4.889826,52.328787 4.889825",512
Linnaeusstraat,hoofd,"52.360073 4.925353,52.360002 4.925413",513
Europaboulevard,plus,"52.332114 4.890184,52.332204 4.890198,52.333894 4.890164",514
Linnaeusstraat,hoofd,"52.361427 4.924356,52.36105 4.924624,52.360477 4.925085",515
Linnaeusstraat,hoofd,"52.359463 4.92555,52.358943 4.925893",516
IJdoornlaan,plus,"52.393336 4.956446,52.392288 4.95722",517
IJdoornlaan,plus,"52.407638 4.918411,52.407597 4.91851,52.40715 4.919498",518
Europaboulevard,plus,"52.334622 4.890156,52.334721 4.890155",519
Linnaeusstraat,hoofd,"52.363316 4.923453,52.363144 4.92351",520
Mosplein,plus,"52.3925510 4.9132190,52.3919830 4.9126370",521
IJdoornlaan,plus,"52.40324 4.931672,52.403176 4.931842,52.403071 4.931937",522
Linnaeusstraat,hoofd,"52.357581 4.926935,52.357267 4.927144",523
Linnaeusstraat,hoofd,"52.358522 4.926338,52.358173 4.926547",524
Linnaeusstraat,hoofd,"52.357562 4.92673,52.357221 4.926924",525
Europaboulevard,plus,"52.337468 4.891592,52.337495 4.891621,52.337612 4.891693,52.33772 4.89175,52.337837 4.891778,52.338808 4.891914,52.338961 4.891942",526
Archimedesweg,hoofd,"52.356006 4.939293,52.356097 4.939364,52.356263 4.939584",527
Europaboulevard,plus,"52.338956 4.892278,52.339364 4.892332",528
Europaboulevard,plus,"52.338961 4.891942,52.340687 4.892134",529
Archimedesweg,hoofd,"52.355758 4.939605,52.355027 4.9407",530
IJdoornlaan,plus,"52.399369 4.940005,52.399263 4.940505,52.399255 4.940638,52.399264 4.940784,52.399279 4.940889",531
IJdoornlaan,plus,"52.418249 4.913767,52.417614 4.913548,52.417241 4.913377",532
Europaboulevard,plus,"52.33462 4.889775,52.334719 4.889788",533
IJdoornlaan,plus,"52.39391 4.956044,52.393336 4.956446",534
IJdoornlaan,plus,"52.41044 4.912591,52.410069 4.913171,52.409663 4.914059,52.409459 4.914583,52.409245 4.915065,52.409232 4.915123",535
IJdoornlaan,plus,"52.399183 4.945472,52.398908 4.946415,52.398739 4.946961,52.398544 4.947638,52.398508 4.947771,52.397727 4.950379",536
Linnaeusstraat,plus,"52.363725 4.92273,52.363682 4.923152,52.363692 4.923262",537
Europaboulevard,plus,"52.328789 4.890192,52.329751 4.890196,52.332114 4.890184",538
IJdoornlaan,plus,"52.406478 4.921196,52.406433 4.921285,52.406094 4.922009,52.40588 4.922437,52.405764 4.922571",539
IJdoornlaan,plus,"52.416042 4.912459,52.416127 4.912549,52.417241 4.913377",540
IJdoornlaan,plus,"52.389984 4.958917,52.389794 4.959171,52.389214 4.95959,52.388883 4.959881,52.38873 4.960114,52.388671 4.96019,52.388637 4.96025,52.388623 4.960292,52.388619 4.960349",541
Linnaeusstraat,hoofd,"52.358678 4.926068,52.358486 4.926177",542
IJdoornlaan,plus,"52.410394 4.912531,52.410106 4.913015,52.409805 4.913641,52.409478 4.91435,52.409397 4.914591,52.409191 4.915001,52.409157 4.915025",543
IJdoornlaan,plus,"52.409232 4.915123,52.409214 4.915076,52.409187 4.915041,52.409157 4.915025",544
IJdoornlaan,plus,"52.389984 4.958917,52.38889 4.95975,52.388676 4.960016,52.388559 4.960261,52.38855 4.960356",545
Muiderstraatweg,plus,"52.333435 4.980019,52.333453 4.980114,52.333418 4.980348,52.333396 4.980571,52.333385 4.980721,52.33335 4.981044,52.333333 4.981323,52.333295 4.983362,52.333296 4.983417,52.333308 4.983537,52.333328 4.98363,52.333361 4.983736,52.333407 4.983857,52.333395 4.983967",546
IJdoornlaan,plus,"52.403071 4.931937,52.402938 4.93201,52.401991 4.933986,52.401969 4.934193",547
Linnaeusstraat,hoofd,"52.358173 4.926547,52.358047 4.926622",548
Linnaeusstraat,hoofd,"52.361919 4.923866,52.361632 4.924001,52.361515 4.924076,52.361049 4.924403,52.360234 4.924999,52.360028 4.925163",549
Muiderstraatweg,plus,"52.333851 4.977486,52.333915 4.977573,52.333912 4.977672,52.333901 4.977745,52.333738 4.978518,52.333561 4.979413,52.333516 4.979643,52.333469 4.979963,52.333435 4.980019",550
Linnaeusstraat,plus,"52.363692 4.923262,52.363316 4.923453",551
IJdoornlaan,plus,"52.409157 4.915025,52.409126 4.915017,52.409094 4.91502,52.409068 4.915035",552
IJdoornlaan,plus,"52.392072 4.957369,52.392091 4.957398,52.3921 4.957442,52.392127 4.957471,52.39219 4.9575,52.392217 4.9575,52.392244 4.95747",553
IJdoornlaan,plus,"52.40029 4.93774,52.400188 4.937998,52.399369 4.940005",554
Linnaeusstraat,hoofd,"52.360028 4.925163,52.359983 4.925193,52.359956 4.925222",555
IJdoornlaan,plus,"52.409034 4.915329,52.409061 4.915372,52.409097 4.915399,52.409145 4.915404,52.409179 4.915403",556
Europaboulevard,plus,"52.333676 4.889771,52.334207 4.889779",557
Europaboulevard,plus,"52.33746 4.891944,52.337722 4.892088",558
IJdoornlaan,plus,"52.404278 4.926806,52.404275 4.926922,52.404174 4.927297,52.403948 4.928356,52.403897 4.928749,52.403817 4.929643,52.403784 4.929865,52.403615 4.930565,52.403561 4.930755",559
Zuiderzeeweg,hoofd,"52.373745 4.962366,52.373959 4.962411,52.374198 4.962439,52.374391 4.962501,52.374638 4.96261,52.374801 4.962707,52.374863 4.962749,52.375113 4.962934",560
Zuiderzeeweg,hoofd,"52.388449 4.966879,52.388404 4.966923,52.38827 4.967159",561
Zuiderzeeweg,plus,"52.388619 4.960349,52.389154 4.962964,52.389729 4.965515",562
Zuiderzeeweg,hoofd,"52.372021 4.962291,52.370781 4.962288,52.3707 4.962319",563
Burgemeester RÃ¶ellstraat,plus,"52.373632 4.832902,52.37332 4.834803",564
Zuiderzeeweg,hoofd,"52.382683 4.970561,52.382673 4.970502,52.382628 4.970429,52.382574 4.9704,52.38252 4.970401",565
Zuiderzeeweg,hoofd,"52.372156 4.962305,52.37248 4.962316,52.373468 4.962336,52.373627 4.962348,52.373745 4.962366",566
Zuiderzeeweg,hoofd,"52.387822 4.967634,52.387706 4.967767,52.38681 4.968583,52.385385 4.969816,52.38508 4.970039,52.384767 4.970233,52.384354 4.970428,52.384085 4.970533,52.383833 4.970594",567
Zuiderzeeweg,hoofd,"52.375113 4.962934,52.375216 4.962998,52.375442 4.963176,52.375719 4.963414,52.375984 4.963672,52.376116 4.963809,52.376369 4.964115,52.376757 4.964625,52.379112 4.967785,52.379997 4.968985,52.380373 4.969403,52.380854 4.969836,52.38136 4.970133,52.381729 4.97032,52.381864 4.970378,52.382424 4.970591",568
Zuiderzeeweg,plus,"52.388915 4.962178,52.388981 4.962511,52.389575 4.965252",569
Zuiderzeeweg,plus,"52.389575 4.965252,52.389666 4.965589",570
Zuiderzeeweg,plus,"52.389703 4.96575,52.389758 4.965955,52.389785 4.966117",571
Burgemeester RÃ¶ellstraat,plus,"52.375684 4.819678,52.375476 4.821134,52.375441 4.821443,52.375179 4.823091,52.374778 4.82571,52.374489 4.827329",572
Zuiderzeeweg,hoofd,"52.389703 4.96575,52.389631 4.965824,52.38955 4.965869,52.389434 4.965959",573
Burgemeester RÃ¶ellstraat,plus,"52.375531 4.819621,52.375496 4.819827,52.375427 4.820312,52.375339 4.820827,52.375278 4.821078,52.375216 4.821402,52.37485 4.823741,52.374667 4.825021,52.374553 4.825625,52.37444 4.826448,52.374309 4.827258",574
Zuiderzeeweg,hoofd,"52.372021 4.962291,52.372156 4.962305",575
Zuiderzeeweg,plus,"52.389785 4.966117,52.390196 4.967777,52.390266 4.967866",576
Burgemeester RÃ¶ellstraat,plus,"52.374489 4.827329,52.373632 4.832902",577
Zuiderzeeweg,hoofd,"52.371995 4.962468,52.372121 4.962466",578
Zuiderzeeweg,hoofd,"52.388421 4.966776,52.388126 4.96719,52.387858 4.967575,52.387822 4.967634",579
Burgemeester RÃ¶ellstraat,plus,"52.376042 4.819262,52.376024 4.819335,52.375971 4.819483,52.375935 4.819542,52.375846 4.819631,52.375801 4.819661,52.375747 4.819677,52.375684 4.819678",580
Zuiderzeeweg,hoofd,"52.3707000 4.9623190,52.3706270 4.9623220",581
Zuiderzeeweg,hoofd,"52.372121 4.962466,52.372489 4.962463,52.373415 4.962498,52.373555 4.9625,52.373732 4.96252",582
Zuiderzeeweg,hoofd,"52.38827 4.967159,52.388181 4.967307,52.388037 4.967485,52.387939 4.967574,52.387822 4.967634",583
Zuiderzeeweg,plus,"52.389666 4.965589,52.389703 4.96575",584
Zuiderzeeweg,hoofd,"52.389434 4.965959,52.389587 4.965942,52.389695 4.965985,52.389785 4.966117",585
Zuiderzeeweg,hoofd,"52.3707 4.962319,52.370763 4.962391,52.371905 4.962454,52.371995 4.962468",586
Zuiderzeeweg,plus,"52.389729 4.965515,52.389773 4.965695",587
Zuiderzeeweg,hoofd,"52.389469 4.965708,52.389281 4.965828,52.389101 4.965962,52.388976 4.966095,52.388851 4.966214,52.388743 4.966347,52.388421 4.966776",588
Burgemeester RÃ¶ellstraat,plus,"52.373477 4.832837,52.373153 4.834754",589
Zuiderzeeweg,hoofd,"52.382683 4.970561,52.3828 4.970589,52.382988 4.970543,52.38324 4.970512,52.383635 4.970537,52.383833 4.970594",590
Zuiderzeeweg,plus,"52.38855 4.960356,52.388597 4.960575,52.388915 4.962178",591
Zuiderzeeweg,hoofd,"52.365339 4.948848,52.365348 4.948892,52.365376 4.949156",592
Zuiderzeeweg,hoofd,"52.382424 4.970591,52.382431 4.970696,52.382468 4.970783,52.382495 4.970812,52.382558 4.970841",593
Zuiderzeeweg,hoofd,"52.365376 4.949156,52.365362 4.950228,52.365374 4.950874,52.365393 4.951329,52.36546 4.952224,52.365722 4.955187,52.365984 4.958106,52.366068 4.959001,52.366096 4.959191,52.366133 4.959396,52.366188 4.95966,52.36627 4.959953,52.366342 4.960187,52.366415 4.960392,52.366551 4.960699,52.36665 4.960889,52.366777 4.961108,52.366868 4.961254,52.367102 4.96156,52.36722 4.961691,52.367445 4.961894,52.367535 4.961967,52.367661 4.962054,52.367895 4.962169,52.368282 4.962298,52.368489 4.962325,52.368687 4.962338,52.368948 4.96235,52.369739 4.962372,52.370627 4.962322",594
Zuiderzeeweg,plus,"52.389729 4.965515,52.389666 4.965589",595
Zuiderzeeweg,hoofd,"52.389575 4.965252,52.389558 4.965443,52.389531 4.965546,52.389469 4.965708",596
Burgemeester RÃ¶ellstraat,plus,"52.375374 4.818786,52.375366 4.818801,52.375348 4.81886,52.375331 4.819021",597
Zuiderzeeweg,hoofd,"52.389666 4.965589,52.389469 4.965708",598
Burgemeester RÃ¶ellstraat,plus,"52.374309 4.827258,52.373477 4.832837",599
Zuiderzeeweg,hoofd,"52.375113 4.962934,52.374854 4.962822,52.374641 4.962721,52.374202 4.962585,52.37397 4.96253,52.373732 4.96252",600
Burgemeester RÃ¶ellstraat,plus,"52.376059 4.819085,52.376059 4.819173,52.376042 4.819262",601
Burgemeester RÃ¶ellstraat,plus,"52.375714 4.818473,52.375768 4.818487,52.375859 4.818545",602
Zuiderzeeweg,plus,"52.389773 4.965695,52.389703 4.96575",603
Zuiderzeeweg,hoofd,"52.365347 4.948481,52.365339 4.948848",604
Zuiderzeeweg,hoofd,"52.365266 4.948555,52.365339 4.948848",605
Zuiderzeeweg,plus,"52.389773 4.965695,52.390256 4.967702,52.390266 4.967866",606
Zuiderzeeweg,hoofd,"52.383833 4.970594,52.383609 4.97067,52.383249 4.970717,52.38307 4.970719,52.382809 4.970707,52.382683 4.970708",607
Burgemeester RÃ¶ellstraat,plus,"52.375859 4.818545,52.375913 4.818588,52.375985 4.818704,52.376013 4.818778,52.376049 4.818924,52.376059 4.819012,52.376059 4.819085",608
Zuiderzeeweg,hoofd,"52.389434 4.965959,52.389335 4.966018,52.388986 4.966315,52.388628 4.966671,52.388449 4.966879",609
Kometensingel,plus,"52.4137170 4.8785700,52.4137260 4.8785850,52.4137450 4.8787170,52.4137450 4.8788640,52.4137010 4.8790110",610
Pieter Calandlaan,plus,"52.350771 4.793973,52.350789 4.794061",611
Spaarndammerdijk,plus,"52.393221 4.867229,52.393237 4.867834,52.393245 4.868957,52.393227 4.869951,52.393153 4.871089,52.393001 4.87236,52.39294 4.872756",612
Scheldeplein,plus,"52.344466 4.890497,52.344531 4.890533,52.3446 4.890643,52.344628 4.8908",613
Kometensingel,plus,"52.4135720 4.8783810,52.4136000 4.8783950,52.4136360 4.8784240,52.4136720 4.8784680,52.4137170 4.8785700",614
Spaarndammerdijk,plus,"52.3929400 4.8727560,52.3929560 4.8722560",615
Spaarndammerdijk,plus,"52.39223 4.877465,52.391928 4.877806,52.391767 4.877999,52.391669 4.878143,52.391628 4.878227",616
OVERTOOMSESLUIS 0199,plus,"52.357891 4.854519,52.357756 4.854975,52.35773 4.855167",617
Scheldeplein,plus,"52.344628 4.8908,52.344577 4.891028",618
Spaarndammerdijk,plus,"52.39294 4.872756,52.392905 4.873021,52.392879 4.873256,52.392854 4.873603,52.39282 4.876271,52.392793 4.876501,52.392753 4.876651,52.392698 4.876782,52.392623 4.876904,52.39223 4.877465",619
Langbroekdreef,plus,"52.311542 4.984865,52.311578 4.985041",620
Spaarndammerdijk,plus,"52.393065 4.868575,52.393031 4.869023,52.393035 4.869758,52.393058 4.871021,52.393042 4.871462,52.392956 4.872256",621
OVERTOOMSESLUIS 0199,plus,"52.357997 4.854591,52.3579 4.854988,52.35782 4.855239",622
Scheldeplein,plus,"52.344577 4.891028,52.344538 4.89109,52.344414 4.891137,52.34417 4.891204,52.34403 4.890824",623
De Ruijterkade,plus,"52.3815280 4.8965050,52.3818110 4.8960480",624
Stadionweg,plus,"52.348838 4.88332,52.349355 4.884356",625
OOSTOEVER NOORDZIJDE,plus,"52.370956 4.830883,52.370957 4.831015,52.370939 4.831089,52.370939 4.831133,52.370895 4.831265,52.370868 4.83131",626
Weesperstraat,plus,"52.366229 4.90501,52.36536 4.905537",627
Stadionweg,plus,"52.346767 4.873892,52.346827 4.875315",628
RYKSWG,plus,"52.330487 4.913034,52.330078 4.913092,52.32856 4.913329,52.328309 4.913375,52.326261 4.913705,52.326108 4.913722,52.32556 4.913815,52.324213 4.914094,52.324105 4.91411,52.323773 4.914172,52.323495 4.914248,52.322319 4.914715,52.321976 4.914845,52.321677 4.914989,52.321129 4.915262,52.320425 4.915656,52.319787 4.916155",629
De Ruijterkade,plus,"52.3781890 4.9050360,52.3782250 4.9049260,52.3783030 4.9047510,52.3784370 4.9045220,52.3786050 4.9042960,52.3786870 4.9042260",630
De Ruijterkade,plus,"52.3814460 4.8963150,52.3820560 4.8955430,52.3823670 4.8951150,52.3824920 4.8949370,52.3826170 4.8947160,52.3826700 4.8946120,52.3827590 4.8943620,52.3827760 4.8941850,52.3827750 4.8939650,52.3827980 4.8935370,52.3828370 4.8934020",631
Stadionweg,plus,"52.345227 4.858846,52.345297 4.859017,52.34535 4.859293,52.345395 4.859621",632
Stadionweg,plus,"52.345749 4.861651,52.345819 4.862173,52.345829 4.862403,52.34582 4.86256",633
Weesperstraat,plus,"52.362563 4.90724,52.362294 4.90739",634
Weesperstraat,plus,"52.364275 4.906047,52.363647 4.906451",635
Weesperstraat,plus,"52.36501 4.905584,52.364275 4.906047",636
Stadionweg,plus,"52.346591 4.868596,52.346621 4.869359,52.346663 4.870797,52.346683 4.871163,52.346683 4.871237",637
Weesperstraat,plus,"52.361827 4.907498,52.361213 4.907845",638
Stadionweg,plus,"52.346887 4.876899,52.346928 4.877911",639
Stadionweg,plus,"52.348485 4.882604,52.348621 4.882882",640
Weesperstraat,plus,"52.364299 4.906187,52.363675 4.906583",641
Stadionweg,plus,"52.345479 4.859579,52.345498 4.859802,52.345621 4.860807",642
Weesperstraat,plus,"52.363379 4.906747,52.362563 4.90724",643
Weesperstraat,plus,"52.36336 4.90663,52.362535 4.907094",644
Weesperstraat,plus,"52.361854 4.907659,52.361343 4.907958,52.361245 4.908003",645
De Ruijterkade,plus,"52.3786870 4.9042260,52.3786170 4.9043600,52.3784740 4.9045600,52.3783550 4.9048240,52.3782780 4.9050780",646
Stadionweg,plus,"52.34582 4.86256,52.345902 4.863174",647
OOSTOEVER NOORDZIJDE,plus,"52.370469 4.830478,52.370442 4.830508,52.370424 4.830537,52.370388 4.830582,52.370362 4.830641,52.370335 4.830714,52.370317 4.830788,52.3703 4.830935,52.37031 4.831023",648
Stadionweg,plus,"52.346878 4.876708,52.346887 4.876899",649
Stadionweg,plus,"52.34543 4.859018,52.345479 4.859579",650
Weesperstraat,plus,"52.362266 4.907244,52.361827 4.907498",651
OOSTOEVER NOORDZIJDE,plus,"52.370576 4.830418,52.370531 4.830433,52.370505 4.830448,52.370469 4.830478",652
Stadionweg,plus,"52.347179 4.879948,52.347599 4.880825",653
De Ruijterkade,plus,"52.3775490 4.9103680,52.3775570 4.9098720,52.3776000 4.9094410,52.3780130 4.9063630",654
OOSTOEVER NOORDZIJDE,plus,"52.370874 4.83059,52.37091 4.830678,52.370928 4.830736,52.370956 4.830883",655
Stadionweg,plus,"52.347599 4.880825,52.348013 4.881626",656
Stadionweg,plus,"52.346134 4.864903,52.346246 4.865768",657
De Ruijterkade,plus,"52.3812140 4.8967110,52.3813100 4.8965540,52.3814460 4.8963150",658
OOSTOEVER NOORDZIJDE,plus,"52.370392 4.831316,52.370437 4.831389,52.370572 4.831475,52.370689 4.831474,52.370725 4.831458",659
OOSTOEVER NOORDZIJDE,plus,"52.370868 4.83131,52.370841 4.831354,52.370806 4.831399,52.370761 4.831429,52.370725 4.831458",660
De Ruijterkade,plus,"52.3818110 4.8960480,52.3824910 4.8951120",661
De Ruijterkade,plus,"52.3780130 4.9063630,52.3781890 4.9050360",662
Stadionweg,plus,"52.346827 4.875315,52.346878 4.876708",663
Stadionweg,plus,"52.345674 4.861677,52.345784 4.862436,52.34582 4.86256",664
De Ruijterkade,plus,"52.3810540 4.8970680,52.3811240 4.8968910,52.3812140 4.8967110",665
Stadionweg,plus,"52.345099 4.858002,52.345227 4.858846",666
OOSTOEVER NOORDZIJDE,plus,"52.37031 4.831023,52.370328 4.83117,52.370356 4.831243,52.370374 4.831272,52.370392 4.831316",667
Weesperstraat,plus,"52.362535 4.907094,52.362266 4.907244",668
De Ruijterkade,plus,"52.380888 4.898204,52.380506 4.899396,52.379571 4.901861,52.37904 4.903306,52.378717 4.904154,52.378687 4.904226",669
Weesperstraat,plus,"52.365332 4.90539,52.36501 4.905584",670
De Ruijterkade,plus,"52.3811320 4.8972640,52.3811400 4.8971190,52.3811830 4.8970090,52.3812520 4.8968560,52.3815280 4.8965050",671
De Ruijterkade,plus,"52.3780860 4.9063820,52.3782780 4.9050780",672
OOSTOEVER NOORDZIJDE,plus,"52.370576 4.830418,52.370648 4.830417,52.370747 4.830445,52.37081 4.830503,52.370847 4.830547,52.370874 4.83059",673
De Ruijterkade,plus,"52.3824910 4.8951120,52.3826060 4.8948670,52.3827150 4.8946700,52.3827770 4.8944940,52.3828130 4.8943460,52.3828390 4.8941990,52.3828470 4.8940520,52.3828370 4.8934020",674
Weesperstraat,plus,"52.365046 4.90576,52.364984 4.905805,52.364299 4.906187",675
Stadionweg,plus,"52.345395 4.859621,52.345674 4.861677",676
De Ruijterkade,plus,"52.3808880 4.8982040,52.3809900 4.8978910,52.3810430 4.8976910,52.3810520 4.8975460,52.3810390 4.8973830,52.3810380 4.8971900,52.3810540 4.8970680",677
Stadionweg,plus,"52.346928 4.877911,52.347007 4.879598,52.347179 4.879948",678
Stadionweg,plus,"52.346013 4.864024,52.346134 4.864903",679
Weesperstraat,plus,"52.366201 4.904889,52.365332 4.90539",680
Stadionweg,plus,"52.345258 4.857963,52.34543 4.859018",681
Weesperstraat,plus,"52.36536 4.905537,52.365046 4.90576",682
Stadionweg,plus,"52.348013 4.881626,52.348485 4.882604",683
Weesperstraat,plus,"52.363647 4.906451,52.36336 4.90663",684
Weesperstraat,plus,"52.363675 4.906583,52.363379 4.906747",685
De Ruijterkade,plus,"52.3808880 4.8982040,52.3810260 4.8978940,52.3811110 4.8976040,52.3811360 4.8974370,52.3811320 4.8972640",686
Stadionweg,plus,"52.345621 4.860807,52.345749 4.861651",687
De Ruijterkade,plus,"52.3775490 4.9103680,52.3776390 4.9098500,52.3777650 4.9089520,52.3780860 4.9063820",688
Stadionweg,plus,"52.345902 4.863174,52.346013 4.864024",689
Weesperstraat,plus,"52.362294 4.90739,52.361854 4.907659",690
Stadionweg,plus,"52.348621 4.882882,52.348711 4.883086,52.348838 4.88332",691
Jonas DaniÃ«l Meijerplein,plus,"52.366589 4.904633,52.366201 4.904889",692
Nieuwe Hemweg,plus,"52.395577 4.861251,52.395559 4.86131,52.395532 4.86134,52.39507 4.862432",693
Johan Huizingalaan,plus,"52.342595 4.827819,52.342379 4.827836,52.341417 4.827863",694
Karspeldreef,plus,"52.312182 4.967547,52.312102 4.967404,52.312046 4.967325,52.311978 4.96728",695
Johannes Blookerweg,plus,"52.334045 4.929834,52.333973 4.929908,52.333301 4.930487,52.333113 4.930665,52.33297 4.930814,52.33263 4.931125,52.332128 4.9316",696
Nieuwe Hemweg,plus,"52.399424 4.852623,52.398424 4.854811,52.397943 4.855875,52.396546 4.859006,52.39563 4.861103,52.395577 4.861251",697
Zeeburgerdijk,plus,"52.366103 4.931985,52.366103 4.932176",698
Johan Huizingalaan,plus,"52.358304 4.826927,52.358257 4.826886,52.358187 4.82685,52.358108 4.826838,52.35747 4.826861,52.357412 4.826882,52.357355 4.82692,52.357311 4.826973",699
Nieuwe Hemweg,plus,"52.400159 4.851537,52.399928 4.851849,52.399544 4.852511,52.399424 4.852623",700
Johan Huizingalaan,plus,"52.358304 4.826927,52.358457 4.827083,52.358522 4.827125,52.358596 4.827149,52.358693 4.827161,52.359157 4.827135,52.359201 4.827187",701
Karspeldreef,plus,"52.309133 4.958644,52.309567 4.960014,52.309876 4.960905",702
Karspeldreef,plus,"52.307561 4.954438,52.307097 4.953058",703
Henk Sneevlietweg,plus,"52.345631 4.827443,52.345632 4.827663",704
Zeeburgerdijk,plus,"52.365982 4.930877,52.366022 4.931957",705
Johan Huizingalaan,plus,"52.345631 4.827443,52.346727 4.8274,52.346815 4.827421",706
Nieuwe Hemweg,plus,"52.400011 4.851301,52.399467 4.852414,52.399424 4.852623",707
Johan Huizingalaan,plus,"52.356226 4.827295,52.354708 4.827329",708
Johan Huizingalaan,plus,"52.36213 4.827074,52.361627 4.82708,52.359201 4.827187",709
Henk Sneevlietweg,plus,"52.345675 4.836879,52.345688 4.837788,52.345681 4.838243",710
Nieuwe Hemweg,plus,"52.400713 4.850499,52.400382 4.851057,52.400159 4.851537",711
Karspeldreef,plus,"52.311841 4.966579,52.31194 4.966858",712
Rhijnspoorplein,plus,"52.361213 4.907845,52.36117 4.907868",713
Karspeldreef,plus,"52.30488 4.946658,52.304926 4.946775",714
Karspeldreef,plus,"52.304926 4.946775,52.305008 4.947009,52.305117 4.947345,52.305226 4.947637,52.305453 4.948309,52.306007 4.949902",715
Henk Sneevlietweg,plus,"52.345601 4.840431,52.345592 4.840676,52.345575 4.841315,52.345572 4.841529",716
Henk Sneevlietweg,plus,"52.345632 4.827663,52.345596 4.827737,52.345653 4.83412,52.345665 4.836615,52.345675 4.836879",717
Johan Huizingalaan,plus,"52.341417 4.827863,52.340609 4.827917,52.339512 4.827946,52.339173 4.827928",718
Nieuwe Hemweg,plus,"52.401229 4.84864,52.400516 4.850246",719
Zeeburgerdijk,plus,"52.366103 4.932176,52.366113 4.932695",720
Karspeldreef,plus,"52.307561 4.954438,52.30905 4.958739",721
Nieuwe Hemweg,plus,"52.401483 4.848828,52.40101 4.84989,52.400713 4.850499",722
Johan Huizingalaan,plus,"52.346844 4.827633,52.346908 4.827632",723
Johan Huizingalaan,plus,"52.359201 4.827187,52.359159 4.827253,52.358685 4.827265,52.358604 4.82728,52.358538 4.827301,52.358475 4.827344,52.358319 4.827497",724
Johan Huizingalaan,plus,"52.357292 4.827515,52.357357 4.827565,52.357448 4.827623",725
Zeeburgerdijk,hoofd,"52.365347 4.948481,52.365266 4.948555",726
Johan Huizingalaan,plus,"52.351464 4.827309,52.352452 4.827328,52.35256 4.827385",727
Jonas DaniÃ«l Meijerplein,plus,"52.367543 4.904027,52.366589 4.904633",728
Henk Sneevlietweg,plus,"52.345961 4.840412,52.345964 4.841146,52.345945 4.841561",729
Johan Huizingalaan,plus,"52.356226 4.827295,52.356352 4.827402,52.356966 4.827382,52.357051 4.827389,52.357126 4.82741,52.357212 4.827454,52.357292 4.827515",730
Johannes Blookerweg,plus,"52.334125 4.929745,52.334045 4.929834",731
Johan Huizingalaan,plus,"52.348195 4.827399,52.349971 4.82733,52.351305 4.827332,52.351372 4.827308",732
Zeeburgerdijk,plus,"52.366113 4.932695,52.366125 4.933233,52.366153 4.933453,52.366199 4.9336,52.366262 4.933702",733
Johan Huizingalaan,plus,"52.351372 4.827308,52.351464 4.827309",734
Nieuwe Hemweg,plus,"52.400516 4.850246,52.400011 4.851301",735
Karspeldreef,plus,"52.311978 4.96728,52.312159 4.967818",736
Zeeburgerdijk,plus,"52.366022 4.931957,52.366032 4.932221",737
Karspeldreef,plus,"52.305015 4.946701,52.305243 4.947343,52.306097 4.949828",738
Henk Sneevlietweg,plus,"52.345632 4.827663,52.345677 4.827736,52.345755 4.836804",739
Henk Sneevlietweg,plus,"52.345681 4.838243,52.345675 4.838948,52.345651 4.839506,52.345609 4.840211,52.345601 4.840431",740
Karspeldreef,plus,"52.311698 4.96645,52.309796 4.960962",741
Jonas DaniÃ«l Meijerplein,plus,"52.367586 4.904187,52.367512 4.90427,52.367095 4.904511,52.366888 4.904639,52.366511 4.904846,52.366229 4.90501",742
Johan Huizingalaan,plus,"52.363999 4.827035,52.364034 4.827031",743
Johan Huizingalaan,plus,"52.357448 4.827623,52.357516 4.82764,52.358126 4.827622",744
Weesperzijde,hoofd,"52.344047 4.918124,52.34406 4.918176,52.344065 4.918223,52.344047 4.918336,52.344005 4.918416,52.343977 4.918438,52.343927 4.918451",745
Johan Huizingalaan,plus,"52.349262 4.827588,52.349083 4.827576,52.348184 4.827631",746
Karspeldreef,plus,"52.311841 4.966579,52.311698 4.96645",747
Johan Huizingalaan,plus,"52.351455 4.827472,52.351257 4.827504,52.350017 4.827549",748
Johan Huizingalaan,plus,"52.357311 4.826973,52.357232 4.827033,52.357097 4.827108,52.356882 4.827154,52.356352 4.827176,52.356226 4.827295",749
Nieuwe Hemweg,plus,"52.393478 4.866146,52.393425 4.866158,52.393379 4.866272,52.39331 4.866359,52.393236 4.866335,52.393197 4.866231,52.393137 4.866009,52.393103 4.865948",750
Zeeburgerdijk,plus,"52.366032 4.932221,52.366041 4.932397,52.366052 4.93272",751
Karspeldreef,plus,"52.31232 4.967935,52.312234 4.968037",752
Zeeburgerdijk,plus,"52.365939 4.926819,52.365957 4.92698,52.365976 4.92723,52.366078 4.930356,52.3661 4.93131,52.366103 4.931985",753
Karspeldreef,plus,"52.31194 4.966858,52.312064 4.96721",754
Karspeldreef,plus,"52.312182 4.967547,52.31232 4.967935",755
