,pand_id,road_ids
77,363100012164726.0,[]
78,363100012158773.0,[]
79,363100012167207.0,[]
80,363100012164445.0,[]
81,363100012237133.0,[]
82,363100012162662.0,[]
83,363100012159746.0,[]
84,363100012237329.0,[]
85,363100012101665.0,[]
86,363100012124587.0,[]
87,363100012163519.0,[]
88,363100012155603.0,[]
89,363100012154254.0,[]
90,363100012167373.0,[]
91,363100012167449.0,[]
92,363100012092390.0,[]
93,363100012117430.0,[]
94,363100012116525.0,[]
95,363100012077936.0,[]
96,363100012127864.0,[]
97,363100012116204.0,[]
98,363100012109895.0,[]
99,363100012135164.0,[]
100,363100012118444.0,[]
101,363100012091343.0,"[[[52.359339, 4.916635], [52.358648, 4.917103], [52.358173, 4.917446], [52.358029, 4.917418]], [[52.359301, 4.916489], [52.358136, 4.91727], [52.358029, 4.917418]]]"
102,363100012126283.0,[]
103,363100012094544.0,[]
104,363100012111748.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
105,363100012061690.0,[]
106,363100012124921.0,"[[[52.358794, 4.915108], [52.358842, 4.915174], [52.35908, 4.9154], [52.359143, 4.915495], [52.359351, 4.916258], [52.359401, 4.916423]], [[52.35873, 4.91515], [52.359028, 4.915427], [52.359087, 4.915585], [52.359301, 4.916489]], [[52.358237, 4.91332], [52.358399, 4.913835], [52.358453, 4.914101], [52.35873, 4.91515]], [[52.357498, 4.910205], [52.357596, 4.9104], [52.358118, 4.91251], [52.358271, 4.91311], [52.35832, 4.913246]], [[52.359339, 4.916635], [52.358648, 4.917103], [52.358173, 4.917446], [52.358029, 4.917418]], [[52.359301, 4.916489], [52.358136, 4.91727], [52.358029, 4.917418]]]"
107,363100012236626.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
108,363100012246848.0,[]
109,363100012155550.0,[]
110,363100012236163.0,[]
111,363100012156704.0,[]
112,363100012236713.0,[]
113,363100012161077.0,[]
114,363100012153339.0,[]
115,363100012161273.0,[]
116,363100012165837.0,[]
117,363100012164468.0,[]
118,363100012236675.0,[]
119,363100012159551.0,[]
120,363100012161046.0,[]
121,363100012163786.0,[]
122,363100012235898.0,[]
123,363100012153794.0,[]
124,363100012159658.0,[]
125,363100012069825.0,[]
126,363100012153706.0,[]
127,363100012161497.0,[]
128,363100012161299.0,[]
129,363100012237163.0,[]
130,363100012166028.0,"[[[52.36213, 4.927402], [52.362184, 4.927387], [52.362283, 4.927385], [52.362355, 4.927429], [52.362427, 4.927516], [52.362455, 4.927604]]]"
131,363100012157454.0,"[[[52.36213, 4.927402], [52.362184, 4.927387], [52.362283, 4.927385], [52.362355, 4.927429], [52.362427, 4.927516], [52.362455, 4.927604]], [[52.36213, 4.927402], [52.362014, 4.927491], [52.361925, 4.927624], [52.361898, 4.927742], [52.361889, 4.927845], [52.361908, 4.927947]]]"
132,363100012237037.0,"[[[52.36213, 4.927402], [52.362184, 4.927387], [52.362283, 4.927385], [52.362355, 4.927429], [52.362427, 4.927516], [52.362455, 4.927604]], [[52.362455, 4.927604], [52.362464, 4.927707], [52.362464, 4.92778], [52.362447, 4.927927], [52.362402, 4.928001], [52.362331, 4.92809], [52.36225, 4.928135]], [[52.36213, 4.927402], [52.362014, 4.927491], [52.361925, 4.927624], [52.361898, 4.927742], [52.361889, 4.927845], [52.361908, 4.927947]]]"
133,363100012084987.0,"[[[52.362455, 4.927604], [52.362464, 4.927707], [52.362464, 4.92778], [52.362447, 4.927927], [52.362402, 4.928001], [52.362331, 4.92809], [52.36225, 4.928135]]]"
134,363100012074376.0,"[[[52.362455, 4.927604], [52.362464, 4.927707], [52.362464, 4.92778], [52.362447, 4.927927], [52.362402, 4.928001], [52.362331, 4.92809], [52.36225, 4.928135]]]"
135,363100012154212.0,[]
136,363100012160480.0,[]
137,363100012156152.0,[]
138,363100012160663.0,[]
139,363100012163184.0,[]
140,363100012162118.0,[]
141,363100012157805.0,[]
142,363100012164151.0,[]
143,363100012155342.0,[]
144,363100012161084.0,[]
145,363100012157639.0,[]
146,363100012167440.0,[]
147,363100012165973.0,[]
148,363100012166548.0,[]
149,363100012160272.0,[]
150,363100012163057.0,[]
151,363100012153123.0,[]
152,363100012162068.0,[]
153,363100012162500.0,[]
154,363100012162889.0,[]
155,363100012162002.0,[]
156,363100012165376.0,[]
157,363100012161766.0,[]
158,363100012163348.0,[]
159,363100012164083.0,"[[[52.363302, 4.930473], [52.363367, 4.931191], [52.363404, 4.931499]], [[52.363913, 4.930393], [52.363742, 4.930409], [52.363374, 4.930472], [52.363302, 4.930473]]]"
160,363100012236289.0,[]
161,363100012236937.0,[]
162,363100012122126.0,"[[[52.363302, 4.930473], [52.363367, 4.931191], [52.363404, 4.931499]], [[52.363913, 4.930393], [52.363742, 4.930409], [52.363374, 4.930472], [52.363302, 4.930473]]]"
163,363100012158925.0,[]
164,363100012165201.0,[]
165,363100012147154.0,[]
166,363100012145175.0,[]
167,363100012154113.0,[]
168,363100012163918.0,[]
169,363100012159406.0,[]
170,363100012236821.0,"[[[52.36213, 4.927402], [52.362184, 4.927387], [52.362283, 4.927385], [52.362355, 4.927429], [52.362427, 4.927516], [52.362455, 4.927604]], [[52.362455, 4.927604], [52.362464, 4.927707], [52.362464, 4.92778], [52.362447, 4.927927], [52.362402, 4.928001], [52.362331, 4.92809], [52.36225, 4.928135]]]"
171,363100012163378.0,[]
172,363100012236602.0,[]
173,363100012161671.0,[]
174,363100012155092.0,[]
175,363100012154498.0,[]
176,363100012121854.0,[]
177,363100012114922.0,[]
178,363100012120520.0,[]
179,363100012118480.0,"[[[52.361956, 4.924056], [52.36174, 4.924147], [52.361516, 4.924281], [52.361427, 4.924356]], [[52.361427, 4.924356], [52.36105, 4.924624], [52.360477, 4.925085]]]"
180,363100012109340.0,[]
181,363100012125385.0,[]
182,363100012142699.0,[]
183,363100012160465.0,[]
184,363100012158293.0,[]
185,363100012250663.0,[]
186,363100012063505.0,[]
187,363100012132067.0,[]
188,363100012152781.0,[]
189,363100012156111.0,[]
190,363100012236722.0,[]
191,363100012237010.0,[]
192,363100012237252.0,[]
193,363100012121398.0,[]
194,363100012130219.0,[]
195,363100012115258.0,[]
196,363100012075482.0,[]
197,363100012145875.0,[]
198,363100012134486.0,[]
199,363100012126772.0,[]
200,363100012067569.0,[]
201,363100012123498.0,[]
